Seconds,,Force Kn,Stress MPa,Strain 1,2,3,4
,,,,2,0,-5,2
,,,,3,0,11,3
,,,,2,0,5,2
,,,,3,0,5,3
,,,,2,0,0,2
,,,,1,0,-3,2
,,,,2,0,-7,3
,,,,3,-1,-4,1
,,,,2,0,-7,2
,,,,2,1,-25,2
,,,,3,1,-59,3
,,,,3,0,-72,3
,,,,4,0,-74,3
,,,,2,1,-82,3
,,,,3,1,-72,3
,,,,2,1,-88,3
,,,,3,1,-100,3
,,,,3,1,-99,3
,,,,3,0,-117,3
,,,,3,1,-117,3
,,,,2,0,-108,3
,,,,3,1,-103,3
,,,,4,1,-104,3
,,,,3,1,-118,3
,,,,4,1,-97,3
,,,,3,1,-104,3
,,,,4,1,-107,4
,,,,4,1,-109,3
,,,,3,2,-100,3
,,,,3,2,-121,4
,,,,3,1,-113,3
,,,,3,1,-130,3
,,,,3,1,-119,4
,,,,3,1,-138,3
,,,,4,1,-146,2
,,,,3,1,-162,4
,,,,3,1,-147,3
,,,,2,1,-138,4
,,,,3,1,-128,5
,,,,3,1,-149,4
,,,,3,1,-145,4
,,,,3,1,-163,3
,,,,3,1,-153,4
,,,,4,1,-161,4
,,,,3,1,-145,4
,,,,4,1,-150,4
,,,,4,2,-142,5
,,,,3,2,-148,4
,,,,3,2,-143,4
,,,,3,1,-152,4
,,,,3,2,-173,5
,,,,3,1,-171,4
,,,,3,1,-152,4
,,,,4,0,-150,5
,,,,4,1,-163,4
,,,,2,2,-163,5
,,,,3,2,-162,4
,,,,3,2,-180,5
,,,,3,2,-159,5
,,,,4,2,-166,4
,,,,3,1,-152,4
,,,,3,2,-145,5
,,,,4,2,-165,5
,,,,3,2,-199,4
,,,,3,2,-194,4
,,,,3,1,-179,4
,,,,3,1,-183,4
,,,,3,2,-195,4
,,,,3,1,-200,4
1,1,16.3,0.9,3,1,-201,3
2,1,14.8,0.8,3,0,-202,3
3,1,15.1,0.9,2,1,-228,3
4,1,19.5,1.1,2,1,-225,3
5,1,24.6,1.4,-7,-1,-195,5
6,1,30.3,1.7,-30,-12,-205,4
7,1,35.1,2.0,-29,-13,-210,4
8,1,38.2,2.2,-34,-15,-189,5
9,1,42.8,2.4,-44,-20,-187,4
10,1,47.4,2.7,-57,-26,-182,5
11,1,51.5,2.9,-70,-31,-182,6
12,1,56.4,3.2,-78,-36,-169,6
13,1,60.7,3.4,-88,-40,-177,6
