Test ID:	Date Tested:	Time:	Test Type:	Diameter Avg. (mm):	Cyl. Corr. Factor:	Height (mm):	Age (days):	Weight (kN):	Break Type:	Ramp Rate (MPa/s):	Load at Break (kN):	Stress at Break (MPa):
12	6/6/2021	2:06	Cylinder	150	1	300	0	13.39	Invalid/No Break	0.25	1625.29	91.97
Column1	Sample Time	Load (kN)	Stress (MPa)	Long. Strain	Trans. Strain	Chan1 Deflection (mm)	Chan2 Deflection (mm)					
1.00	00:14.1	60.05988804	3.399115339	0	0.000885	0	0					
2.00	00:14.2	59.53054967	3.37153631	0	0.000885	0	0					
3.00	00:14.3	60.29119557	3.412904854	0	0.000885	0	0					
4.00	00:14.4	60.29119557	3.412904854	0	0.000885	0	0					
5.00	00:14.5	60.1755418	3.406010096	0	0.000885	0	0					
6.00	00:14.6	60.70488018	3.433589125	0	0.000885	0	0					
7.00	00:14.7	60.70488018	3.433589125	0	0.000885	0	0					
8.00	00:14.8	61.64345493	3.488747184	0	0.000885	0	0					
9.00	00:14.9	62.58202969	3.543905242	0	0.000885	0	0					
10.00	00:15.0	63.98766772	3.619747572	0	0.000885	0	0					
1.00	00:15.1	63.98766772	3.619747572	0	0.000885	0	0					
2.00	00:15.2	64.57483297	3.654221358	0	0.000885	0	0					
3.00	00:15.2	65.92264411	3.730063688	0	0.000885	0	0					
4.00	00:15.4	66.3318805	3.75074796	0	0.000885	0	0					
5.00	00:15.5	66.3318805	3.75074796	0	0.000885	0	0					
6.00	00:15.5	66.27405362	3.75074796	0	0.000885	0	0					
7.00	00:15.6	67.21262838	3.805906019	0	0.000885	0	0					
8.00	00:15.7	67.97772249	3.847274562	0	0.000885	0	0					
9.00	00:15.8	67.97772249	3.847274562	0	0.000885	0	0					
10.00	00:15.9	68.27130512	3.861064077	0	0.000885	0	0					
1.00	00:16.0	68.91629725	3.90243262	0	0.000885	0	0					
2.00	00:16.1	68.91629725	3.90243262	0	0.000885	0	0					
3.00	00:16.2	69.20543165	3.916222135	0	0.000885	0	0					
4.00	00:16.3	70.14400641	3.971380193	0	0.000885	0	0					
5.00	00:16.4	71.08258117	4.019643494	0	0.000885	0	0					
6.00	00:16.5	71.08258117	4.019643494	0	0.000885	0	0					
7.00	00:16.6	71.84767528	4.067906795	0	0.000885	0	0					
8.00	00:16.7	72.43484053	4.095485824	0	0.000885	0	0					
9.00	00:16.8	73.31114019	4.150643883	0	0.000885	0	0					
10.00	00:16.9	73.31114019	4.150643883	0	0.000885	0	0					
1.00	00:17.0	73.60472282	4.164433397	0	0.000885	0	0					
2.00	00:17.1	74.31199005	4.205801941	0	0.000885	0	0					
3.00	00:17.2	74.89470708	4.240275727	0	0.000885	0	0					
4.00	00:17.3	74.89470708	4.240275727	0	0.000885	0	0					
5.00	00:17.4	75.42404545	4.267854756	0	0.000885	0	0					
6.00	00:17.5	76.12686446	4.3092233	0	0.000885	0	0					
7.00	00:17.6	76.71402971	4.343697086	0	0.000885	0	0					
8.00	00:17.7	76.71402971	4.343697086	0	0.000885	0	0					
9.00	00:17.8	77.00761234	4.357486601	0	0.000885	0	0					
10.00	00:17.9	77.53695071	4.38506563	0	0.000885	0	0					
1.00	00:18.0	77.53695071	4.38506563	0	0.000885	0	0					
2.00	00:18.1	77.88836022	4.405749902	0	0.000885	0	0					
3.00	00:18.2	78.2975966	4.433328931	0	0.000885	0	0					
4.00	00:18.3	78.94258874	4.467802717	0	0.000885	0	0					
5.00	00:18.4	78.94258874	4.467802717	0	0.000885	0	0					
6.00	00:18.5	79.47192711	4.495381747	0	0.000885	0	0					
7.00	00:18.6	79.82333661	4.516066018	0	0.000885	0	0					
8.00	00:18.7	80.52615562	4.557434562	0	0.000885	0	0					
9.00	00:18.8	80.52615562	4.557434562	0	0.000885	0	0					
10.00	00:18.9	81.17114776	4.591908348	0	0.000885	0	0					
1.00	00:19.0	82.05189563	4.640171649	0	0.000885	0	0					
2.00	00:19.1	82.99047039	4.695329708	0	0.000885	0	0					
3.00	00:19.2	82.99047039	4.695329708	0	0.000885	0	0					
4.00	00:19.3	83.81339139	4.743593009	0	0.000885	0	0					
5.00	00:19.4	84.39610842	4.778066795	0	0.000885	0	0					
6.00	00:19.5	84.39610842	4.778066795	0	0.000885	0	0					
7.00	00:19.6	85.04110055	4.812540581	0	0.000885	0	0					
8.00	00:19.7	85.39695828	4.833224853	0	0.000885	0	0					
9.00	00:19.8	85.86402154	4.860803882	0	0.000885	0	0					
10.00	00:19.9	85.86402154	4.860803882	0	0.000885	0	0					
1.00	00:20.0	86.68694254	4.902172426	0	0.000885	0	0					
2.00	00:20.1	87.03835205	4.922856698	0	0.000885	0	0					
3.00	00:20.2	87.74117106	4.964225242	0	0.000885	0	0					
4.00	00:20.3	87.74117106	4.964225242	0	0.000885	0	0					
5.00	00:20.4	88.38616319	4.998699028	0	0.000885	0	0					
6.00	00:20.5	88.85767468	5.026278057	0	0.000885	0	0					
7.00	00:20.6	89.79180122	5.081436115	0	0.000885	0	0					
8.00	00:20.7	89.79180122	5.081436115	0	0.000885	0	0					
9.00	00:20.8	90.32113959	5.109015144	0	0.000885	0	0					
10.00	00:20.9	90.79265108	5.136594174	0	0.000885	0	0					
1.00	00:21.0	91.37536811	5.17106796	0	0.000885	0	0					
2.00	00:21.1	91.37536811	5.17106796	0	0.000885	0	0					
3.00	00:21.2	92.14046222	5.212436504	0	0.000885	0	0					
4.00	00:21.3	92.72762747	5.24691029	0	0.000885	0	0					
5.00	00:21.4	93.0212101	5.260699805	0	0.000885	0	0					
6.00	00:21.5	93.0212101	5.260699805	0	0.000885	0	0					
7.00	00:21.6	93.72402911	5.302068348	0	0.000885	0	0					
8.00	00:21.7	94.31119436	5.336542135	0	0.000885	0	0					
9.00	00:21.8	95.307596	5.391700193	0	0.000885	0	0					
10.00	00:21.9	95.307596	5.391700193	0	0.000885	0	0					
1.00	00:22.0	95.60117863	5.412384465	0	0.000885	0	0					
2.00	00:22.1	95.89476125	5.426173979	0	0.000885	0	0					
3.00	00:22.2	96.53975338	5.460647766	0	0.000885	0	0					
4.00	00:22.3	96.53975338	5.460647766	0	0.000885	0	0					
5.00	00:22.4	96.94898977	5.488226795	0	0.000885	0	0					
6.00	00:22.5	97.53615502	5.522700581	0	0.000885	0	0					
7.00	00:22.6	97.65180878	5.522700581	0	0.000885	0	0					
8.00	00:22.7	97.65180878	5.522700581	0	0.000885	0	0					
9.00	00:22.8	98.12332027	5.55027961	0	0.000885	0	0					
10.00	00:22.9	99.23537567	5.612332426	0	0.000885	0	0					
1.00	00:23.0	99.23537567	5.612332426	0	0.000885	0	0					
2.00	00:23.1	100.0582967	5.660595727	0	0.000885	0	0					
3.00	00:23.2	100.9390445	5.708859028	0	0.000885	0	0					
4.00	00:23.3	101.5262098	5.743332814	0	0.000885	0	0					
5.00	00:23.4	101.5262098	5.743332814	0	0.000885	0	0					
6.00	00:23.5	102.4025095	5.791596115	0	0.000885	0	0					
7.00	00:23.6	102.8740209	5.819175144	0	0.000885	0	0					
8.00	00:23.7	103.8125957	5.874333203	0	0.000885	0	0					
9.00	00:23.8	103.8125957	5.874333203	0	0.000885	0	0					
10.00	00:23.9	104.3374858	5.901912232	0	0.000885	0	0					
1.00	00:24.0	104.3374858	5.901912232	0	0.000885	0	0					
2.00	00:24.1	104.982478	5.943280775	0	0.000885	0	0					
3.00	00:24.2	104.982478	5.943280775	0	0.000885	0	0					
4.00	00:24.3	105.2760606	5.95707029	0	0.000885	0	0					
5.00	00:24.4	106.0989816	6.005333591	0	0.000885	0	0					
6.00	00:24.5	106.62832	6.03291262	0	0.000885	0	0					
7.00	00:24.6	106.62832	6.03291262	0	0.000885	0	0					
8.00	00:24.7	107.5668947	6.088070678	0	0.000885	0	0					
9.00	00:24.8	107.7982023	6.101860193	0	0.000885	0	0					
10.00	00:24.9	108.2118869	6.122544465	0	0.000885	0	0					
1.00	00:25.0	108.2118869	6.122544465	0	0.000885	0	0					
2.00	00:25.1	108.6789501	6.150123494	0	0.000885	0	0					
3.00	00:25.3	109.4440442	6.191492037	0	0.000885	0	0					
4.00	00:25.4	110.262517	6.239755338	0	0.000885	0	0					
5.00	00:25.5	110.262517	6.239755338	0	0.000885	0	0					
6.00	00:25.6	111.085438	6.288018639	0	0.000885	0	0					
7.00	00:25.7	111.1432649	6.288018639	0	0.000885	0	0					
8.00	00:25.8	111.1432649	6.288018639	0	0.000885	0	0					
9.00	00:25.9	111.9617377	6.33628194	0	0.000885	0	0					
10.00	00:26.0	112.491076	6.363860969	0	0.000885	0	0					
1.00	00:26.1	112.8424855	6.384545241	0	0.000885	0	0					
2.00	00:26.2	112.8424855	6.384545241	0	0.000885	0	0					
3.00	00:26.3	113.7232334	6.432808542	0	0.000885	0	0					
4.00	00:26.4	114.4838793	6.481071843	0	0.000885	0	0					
5.00	00:26.4	115.0132177	6.508650872	0	0.000885	0	0					
6.00	00:26.5	115.0132177	6.508650872	0	0.000885	0	0					
7.00	00:26.6	115.3646272	6.529335144	0	0.000885	0	0					
8.00	00:26.7	116.1297213	6.570703688	0	0.000885	0	0					
9.00	00:26.8	117.1261229	6.625861746	0	0.000885	0	0					
10.00	00:26.9	117.1261229	6.625861746	0	0.000885	0	0					
1.00	00:27.0	117.2996036	6.639651261	0	0.000885	0	0					
2.00	00:27.1	118.1225246	6.681019804	0	0.000885	0	0					
3.00	00:27.2	118.7096898	6.715493591	0	0.000885	0	0					
4.00	00:27.3	118.7096898	6.715493591	0	0.000885	0	0					
5.00	00:27.4	119.4125089	6.756862134	0	0.000885	0	0					
6.00	00:27.5	119.8217452	6.777546406	0	0.000885	0	0					
7.00	00:27.6	119.8217452	6.777546406	0	0.000885	0	0					
8.00	00:27.7	120.7024931	6.832704464	0	0.000885	0	0					
9.00	00:27.8	121.463139	6.874073008	0	0.000885	0	0					
10.00	00:27.9	122.2282331	6.915441552	0	0.000885	0	0					
1.00	00:28.0	122.2282331	6.915441552	0	0.000885	0	0					
2.00	00:28.1	122.1704062	6.915441552	0	0.000885	0	0					
3.00	00:28.2	123.3402885	6.977494367	0	0.000885	0	0					
4.00	00:28.3	123.691698	6.998178639	0	0.000885	0	0					
5.00	00:28.4	123.691698	6.998178639	0	0.000885	0	0					
6.00	00:28.5	124.1053826	7.025757668	0	0.000885	0	0					
7.00	00:28.6	124.8660285	7.067126212	0	0.000885	0	0					
8.00	00:28.7	124.8082017	7.060231455	0	0.000885	0	0					
9.00	00:28.8	124.8082017	7.060231455	0	0.000885	0	0					
10.00	00:28.9	126.2138397	7.142968542	0	0.000885	0	0					
1.00	00:29.0	126.2761148	7.142968542	0	0.000885	0	0					
2.00	00:29.1	127.0945876	7.191231843	0	0.000885	0	0					
3.00	00:29.2	127.0945876	7.191231843	0	0.000885	0	0					
4.00	00:29.3	127.0945876	7.191231843	0	0.000885	0	0					
5.00	00:29.4	127.5082722	7.218810872	0	0.000885	0	0					
6.00	00:29.5	128.3845718	7.267074173	0	0.000885	0	0					
7.00	00:29.6	128.3845718	7.267074173	0	0.000885	0	0					
8.00	00:29.7	128.7359813	7.287758445	0	0.000885	0	0					
9.00	00:29.8	129.0918391	7.30154796	0	0.000885	0	0					
10.00	00:29.9	130.1460676	7.363600775	0	0.000885	0	0					
1.00	00:30.0	130.1460676	7.363600775	0	0.000885	0	0					
2.00	00:30.1	131.1424692	7.418758833	0	0.000885	0	0					
3.00	00:30.3	132.0232171	7.473916892	0	0.000885	0	0					
4.00	00:30.3	132.0232171	7.473916892	0	0.000885	0	0					
5.00	00:30.5	132.6103823	7.501495921	0	0.000885	0	0					
6.00	00:30.6	132.9617918	7.522180192	0	0.000885	0	0					
7.00	00:30.7	134.0160204	7.584233008	0	0.000885	0	0					
8.00	00:30.8	134.0160204	7.584233008	0	0.000885	0	0					
9.00	00:30.9	134.7188394	7.625601552	0	0.000885	0	0					
10.00	00:31.0	135.2481777	7.653180581	0	0.000885	0	0					
1.00	00:31.1	136.0088236	7.694549124	0	0.000885	0	0					
2.00	00:31.2	136.0088236	7.694549124	0	0.000885	0	0					
3.00	00:31.3	136.7160909	7.735917668	0	0.000885	0	0					
4.00	00:31.4	137.0096735	7.749707183	0	0.000885	0	0					
5.00	00:31.5	137.8859732	7.804865241	0	0.000885	0	0					
6.00	00:31.6	137.8859732	7.804865241	0	0.000885	0	0					
7.00	00:31.6	138.063902	7.811759998	0	0.000885	0	0					
8.00	00:31.7	138.5932404	7.839339027	0	0.000885	0	0					
9.00	00:31.9	139.1181305	7.873812814	0	0.000885	0	0					
10.00	00:32.0	139.1181305	7.873812814	0	0.000885	0	0					
1.00	00:32.1	139.4117132	7.887602328	0	0.000885	0	0					
2.00	00:32.1	140.4659417	7.949655144	0	0.000885	0	0					
3.00	00:32.2	140.8796263	7.970339416	0	0.000885	0	0					
4.00	00:32.3	140.8796263	7.970339416	0	0.000885	0	0					
5.00	00:32.4	141.4667915	8.004813202	0	0.000885	0	0					
6.00	00:32.5	142.2274374	8.046181746	0	0.000885	0	0					
7.00	00:32.6	142.2274374	8.046181746	0	0.000885	0	0					
8.00	00:32.7	142.4053663	8.05997126	0	0.000885	0	0					
9.00	00:32.8	143.4017679	8.115129319	0	0.000885	0	0					
10.00	00:32.9	143.4595948	8.115129319	0	0.000885	0	0					
1.00	00:33.0	143.4595948	8.115129319	0	0.000885	0	0					
2.00	00:33.1	144.3981696	8.170287377	0	0.000885	0	0					
3.00	00:33.2	144.5138233	8.177182134	0	0.000885	0	0					
4.00	00:33.3	145.1009886	8.21165592	0	0.000885	0	0					
5.00	00:33.4	145.1009886	8.21165592	0	0.000885	0	0					
6.00	00:33.5	145.9817365	8.259919221	0	0.000885	0	0					
7.00	00:33.6	146.5110748	8.287498251	0	0.000885	0	0					
8.00	00:33.7	146.9781381	8.31507728	0	0.000885	0	0					
9.00	00:33.8	146.9781381	8.31507728	0	0.000885	0	0					
10.00	00:33.9	147.738784	8.363340581	0	0.000885	0	0					
1.00	00:34.0	148.9131145	8.425393396	0	0.000885	0	0					
2.00	00:34.1	149.384626	8.452972425	0	0.000885	0	0					
3.00	00:34.2	149.384626	8.452972425	0	0.000885	0	0					
4.00	00:34.3	149.7938624	8.473656697	0	0.000885	0	0					
5.00	00:34.4	150.790264	8.535709513	0	0.000885	0	0					
6.00	00:34.5	150.790264	8.535709513	0	0.000885	0	0					
7.00	00:34.6	151.0838466	8.549499027	0	0.000885	0	0					
8.00	00:34.7	151.9067676	8.597762328	0	0.000885	0	0					
9.00	00:34.8	152.1380752	8.611551843	0	0.000885	0	0					
10.00	00:34.9	152.1380752	8.611551843	0	0.000885	0	0					
1.00	00:35.0	152.6674135	8.639130872	0	0.000885	0	0					
2.00	00:35.1	153.1344768	8.666709901	0	0.000885	0	0					
3.00	00:35.2	153.6638152	8.69428893	0	0.000885	0	0					
4.00	00:35.3	153.6638152	8.69428893	0	0.000885	0	0					
5.00	00:35.5	154.6023899	8.749446988	0	0.000885	0	0					
6.00	00:35.6	155.2473821	8.783920775	0	0.000885	0	0					
7.00	00:35.7	155.3630358	8.790815532	0	0.000885	0	0					
8.00	00:35.8	155.3630358	8.790815532	0	0.000885	0	0					
9.00	00:35.9	156.5373663	8.859763105	0	0.000885	0	0					
10.00	00:36.0	156.5373663	8.859763105	0	0.000885	0	0					
1.00	00:36.1	157.4181142	8.908026406	0	0.000885	0	0					
2.00	00:36.2	157.4181142	8.908026406	0	0.000885	0	0					
3.00	00:36.3	158.2410352	8.956289707	0	0.000885	0	0					
4.00	00:36.4	158.6502716	8.976973979	0	0.000885	0	0					
5.00	00:36.5	159.5888463	9.032132037	0	0.000885	0	0					
6.00	00:36.6	159.5888463	9.032132037	0	0.000885	0	0					
7.00	00:36.7	159.5888463	9.032132037	0	0.000885	0	0					
8.00	00:36.8	160.1760116	9.066605823	0	0.000885	0	0					
9.00	00:36.8	161.1724132	9.121763881	0	0.000885	0	0					
10.00	00:36.9	161.1724132	9.121763881	0	0.000885	0	0					
1.00	00:37.1	161.6973034	9.149342911	0	0.000885	0	0					
2.00	00:37.2	162.3467437	9.183816697	0	0.000885	0	0					
3.00	00:37.3	163.4587991	9.25276427	0	0.000885	0	0					
4.00	00:37.3	163.4587991	9.25276427	0	0.000885	0	0					
5.00	00:37.4	163.8680355	9.273448542	0	0.000885	0	0					
6.00	00:37.5	164.6331296	9.314817085	0	0.000885	0	0					
7.00	00:37.6	164.6331296	9.314817085	0	0.000885	0	0					
8.00	00:37.7	165.2781218	9.356185629	0	0.000885	0	0					
9.00	00:37.8	165.1580198	9.349290872	0	0.000885	0	0					
10.00	00:37.9	166.1588696	9.40444893	0	0.000885	0	0					
1.00	00:38.0	166.1588696	9.40444893	0	0.000885	0	0					
2.00	00:38.1	166.2745234	9.411343687	0	0.000885	0	0					
3.00	00:38.2	166.9195155	9.445817474	0	0.000885	0	0					
4.00	00:38.3	167.4488539	9.473396503	0	0.000885	0	0					
5.00	00:38.4	167.4488539	9.473396503	0	0.000885	0	0					
6.00	00:38.5	168.093846	9.514765046	0	0.000885	0	0					
7.00	00:38.6	168.8544919	9.55613359	0	0.000885	0	0					
8.00	00:38.7	169.2637283	9.576817862	0	0.000885	0	0					
9.00	00:38.8	169.2637283	9.576817862	0	0.000885	0	0					
10.00	00:38.9	170.0866493	9.625081163	0	0.000885	0	0					
1.00	00:39.0	170.5537126	9.652660192	0	0.000885	0	0					
2.00	00:39.1	171.083051	9.680239221	0	0.000885	0	0					
3.00	00:39.2	171.083051	9.680239221	0	0.000885	0	0					
4.00	00:39.3	171.9637988	9.728502522	0	0.000885	0	0					
5.00	00:39.4	172.4308621	9.756081551	0	0.000885	0	0					
6.00	00:39.5	172.4308621	9.756081551	0	0.000885	0	0					
7.00	00:39.6	173.0758542	9.797450095	0	0.000885	0	0					
8.00	00:39.7	173.8409483	9.838818639	0	0.000885	0	0					
9.00	00:39.8	174.2501847	9.85950291	0	0.000885	0	0					
10.00	00:39.9	174.2501847	9.85950291	0	0.000885	0	0					
1.00	00:40.0	175.2465864	9.914660969	0	0.000885	0	0					
2.00	00:40.1	176.0695074	9.96292427	0	0.000885	0	0					
3.00	00:40.2	176.1273343	9.969819027	0	0.000885	0	0					
4.00	00:40.4	176.1273343	9.969819027	0	0.000885	0	0					
5.00	00:40.5	177.2438379	10.03187184	0	0.000885	0	0					
6.00	00:40.6	177.2438379	10.03187184	0	0.000885	0	0					
7.00	00:40.7	178.1824126	10.08013514	0	0.000885	0	0					
8.00	00:40.8	178.1824126	10.08013514	0	0.000885	0	0					
