Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,6/8/2021,06:47,Cylinder,100,1,200,0,3.6,3,0,0,0
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:13.170,6.15633869439895,0.786002329921182,0,0.000885,0,0
0:0:13.268,7.91783444799866,1.00663456288151,0,0.000885,0,0
0:0:13.368,7.91783444799866,1.00663456288151,0,0.000885,0,0
0:0:13.469,9.09216495039846,1.15831922304174,0,0.000885,0,0
0:0:13.570,9.67933020159836,1.23416155312186,0,0.000885,0,0
0:0:13.667,9.79498396319834,1.24795106768188,0,0.000885,0,0
0:0:13.764,9.79498396319834,1.24795106768188,0,0.000885,0,0
0:0:13.865,9.55922821839838,1.22037203856184,0,0.000885,0,0
0:0:13.967,8.8564092055985,1.1307401939217,0,0.000885,0,0
0:0:14.066,8.56282657999855,1.08937165024164,0,0.000885,0,0
0:0:14.163,8.56282657999855,1.08937165024164,0,0.000885,0,0
0:0:14.261,8.21141707359861,1.04800310656158,0,0.000885,0,0
0:0:14.363,8.21141707359861,1.04800310656158,0,0.000885,0,0
0:0:14.463,8.44717281839857,1.07558213568162,0,0.000885,0,0
0:0:14.562,8.44717281839857,1.07558213568162,0,0.000885,0,0
0:0:14.660,8.50499969919855,1.08247689296163,0,0.000885,0,0
0:0:14.757,8.15359019279862,1.04110834928157,0,0.000885,0,0
0:0:14.858,8.15359019279862,1.04110834928157,0,0.000885,0,0
0:0:14.958,8.50499969919855,1.08247689296163,0,0.000885,0,0
0:0:15.059,8.50499969919855,1.08247689296163,0,0.000885,0,0
0:0:15.157,8.67848034159853,1.10316116480166,0,0.000885,0,0
0:0:15.255,8.67848034159853,1.10316116480166,0,0.000885,0,0
0:0:15.356,9.26564559279843,1.17900349488177,0,0.000885,0,0
0:0:15.456,9.4435744567984,1.1996877667218,0,0.000885,0,0
0:0:15.555,10.4399760951982,1.330688155042,0,0.000885,0,0
0:0:15.653,10.4399760951982,1.330688155042,0,0.000885,0,0
0:0:15.750,10.4978029759982,1.33758291232201,0,0.000885,0,0
0:0:15.851,10.0307397079983,1.27553009680192,0,0.000885,0,0
0:0:15.951,10.4978029759982,1.33758291232201,0,0.000885,0,0
0:0:16.051,10.4978029759982,1.33758291232201,0,0.000885,0,0
0:0:16.150,10.6179049591982,1.35137242688203,0,0.000885,0,0
0:0:16.245,10.6757318399982,1.35826718416204,0,0.000885,0,0
0:0:16.344,10.6757318399982,1.35826718416204,0,0.000885,0,0
0:0:16.447,10.9070393631981,1.38584621328208,0,0.000885,0,0
