Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,6/9/2021,07:12,Cylinder,100,1,200,0,3.6,Invalid/No Break,0.23,403.93,51.43
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:3.885,5.45351968159907,0.696370485281047,0,0.000885,0,0
0:0:3.983,5.98285805199898,0.758423300801141,0,0.000885,0,0
0:0:4.081,5.98285805199898,0.758423300801141,0,0.000885,0,0
0:0:4.180,5.867204290399,0.74463378624112,0,0.000885,0,0
0:0:4.281,6.09851181359896,0.779107572641172,0,0.000885,0,0
0:0:4.382,5.867204290399,0.74463378624112,0,0.000885,0,0
0:0:4.479,5.867204290399,0.74463378624112,0,0.000885,0,0
0:0:4.577,6.33426755839892,0.806686601761213,0,0.000885,0,0
0:0:4.677,6.51219642239889,0.827370873601244,0,0.000885,0,0
0:0:4.778,6.92143280959882,0.882528931841327,0,0.000885,0,0
0:0:4.878,6.92143280959882,0.882528931841327,0,0.000885,0,0
0:0:4.977,6.86360592879883,0.875634174561317,0,0.000885,0,0
0:0:5.074,6.97925969039882,0.889423689121338,0,0.000885,0,0
0:0:5.174,7.6820787031987,0.979055533761473,0,0.000885,0,0
0:0:5.275,7.6820787031987,0.979055533761473,0,0.000885,0,0
0:0:5.376,7.80218068639867,0.992845048321493,0,0.000885,0,0
0:0:5.473,7.91783444799866,1.00663456288151,0,0.000885,0,0
0:0:5.570,7.91783444799866,1.00663456288151,0,0.000885,0,0
0:0:5.669,8.21141707359861,1.04800310656158,0,0.000885,0,0
0:0:5.771,8.15359019279862,1.04110834928157,0,0.000885,0,0
0:0:5.871,8.62065346079854,1.09626640752165,0,0.000885,0,0
0:0:5.971,8.62065346079854,1.09626640752165,0,0.000885,0,0
0:0:6.069,9.03433806959847,1.15142446576173,0,0.000885,0,0
0:0:6.167,9.61705509919837,1.22726679584185,0,0.000885,0,0
0:0:6.270,9.85281084399833,1.25484582496189,0,0.000885,0,0
0:0:6.370,9.85281084399833,1.25484582496189,0,0.000885,0,0
0:0:6.468,10.2620472311983,1.31000388320197,0,0.000885,0,0
0:0:6.566,9.96846460559831,1.26863533952191,0,0.000885,0,0
0:0:6.664,10.3821492143982,1.32379339776199,0,0.000885,0,0
0:0:6.765,10.3821492143982,1.32379339776199,0,0.000885,0,0
0:0:6.867,10.6179049591982,1.35137242688203,0,0.000885,0,0
0:0:6.966,10.9693144655981,1.39963572784211,0,0.000885,0,0
0:0:7.064,11.0849682271981,1.41342524240213,0,0.000885,0,0
0:0:7.161,11.0849682271981,1.41342524240213,0,0.000885,0,0
0:0:7.263,11.1427951079981,1.42031999968214,0,0.000885,0,0
0:0:7.364,11.729960359198,1.49616232976225,0,0.000885,0,0
0:0:7.463,11.907889223198,1.51684660160228,0,0.000885,0,0
0:0:7.561,11.907889223198,1.51684660160228,0,0.000885,0,0
0:0:7.655,12.0813698655979,1.53753087344231,0,0.000885,0,0
