Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,6/24/2021,04:44,Cylinder,150,1,300,0,3.6,Invalid/No Break,0.25,1157,65.47
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:25.879,6.62785018399887,0.37231689312056,0,0.000885,0,0
0:0:25.977,10.4978029759982,0.592949126080892,0,0.000885,0,0
0:0:26.075,10.4978029759982,0.592949126080892,0,0.000885,0,0
0:0:26.176,14.0741731423976,0.799791844481203,0,0.000885,0,0
0:0:26.277,16.2449052831972,0.917002718241379,0,0.000885,0,0
0:0:26.376,16.1870784023973,0.917002718241379,0,0.000885,0,0
0:0:26.474,16.1870784023973,0.917002718241379,0,0.000885,0,0
0:0:26.574,16.1870784023973,0.917002718241379,0,0.000885,0,0
0:0:26.674,16.1292515215973,0.910107960961369,0,0.000885,0,0
0:0:26.774,15.8356688959973,0.896318446401348,0,0.000885,0,0
0:0:26.872,15.8356688959973,0.896318446401348,0,0.000885,0,0
0:0:26.969,15.4842593895974,0.875634174561317,0,0.000885,0,0
0:0:27.068,15.1906767639974,0.861844660001296,0,0.000885,0,0
0:0:27.169,14.7191652743975,0.834265630881255,0,0.000885,0,0
0:0:27.269,14.7191652743975,0.834265630881255,0,0.000885,0,0
0:0:27.367,14.8970941383975,0.841160388161265,0,0.000885,0,0
0:0:27.465,14.7814403767975,0.834265630881255,0,0.000885,0,0
0:0:27.564,14.7814403767975,0.834265630881255,0,0.000885,0,0
0:0:27.665,15.0750230023974,0.854949902721286,0,0.000885,0,0
0:0:27.766,14.6035115127975,0.827370873601244,0,0.000885,0,0
0:0:27.863,14.7191652743975,0.834265630881255,0,0.000885,0,0
0:0:27.960,14.7191652743975,0.834265630881255,0,0.000885,0,0
0:0:28.059,14.7191652743975,0.834265630881255,0,0.000885,0,0
0:0:28.160,14.8392672575975,0.841160388161265,0,0.000885,0,0
0:0:28.261,15.5999131511974,0.882528931841327,0,0.000885,0,0
0:0:28.361,15.5999131511974,0.882528931841327,0,0.000885,0,0
0:0:28.458,16.0135977599973,0.903213203681358,0,0.000885,0,0
0:0:28.555,16.4228341471972,0.9307922328014,0,0.000885,0,0
0:0:28.656,16.8898974151971,0.958371261921441,0,0.000885,0,0
0:0:28.757,16.8898974151971,0.958371261921441,0,0.000885,0,0
0:0:28.857,17.1834800407971,0.972160776481462,0,0.000885,0,0
0:0:28.955,17.597164649597,0.992845048321493,0,0.000885,0,0
0:0:29.053,17.597164649597,0.992845048321493,0,0.000885,0,0
0:0:29.152,18.0642279175969,1.02042407744153,0,0.000885,0,0
0:0:29.253,18.3578105431969,1.04110834928157,0,0.000885,0,0
0:0:29.354,19.5899679263967,1.11005592208167,0,0.000885,0,0
0:0:29.452,19.5899679263967,1.11005592208167,0,0.000885,0,0
0:0:29.550,20.4084407007965,1.15831922304174,0,0.000885,0,0
0:0:29.651,21.3470154583964,1.20658252400181,0,0.000885,0,0
0:0:29.751,21.7607000671963,1.23416155312186,0,0.000885,0,0
0:0:29.852,21.7607000671963,1.23416155312186,0,0.000885,0,0
0:0:29.950,22.3478653183962,1.2617405822419,0,0.000885,0,0
0:0:30.046,23.286440075996,1.31689864048198,0,0.000885,0,0
0:0:30.146,23.811330224796,1.34447766960202,0,0.000885,0,0
0:0:30.247,23.811330224796,1.34447766960202,0,0.000885,0,0
0:0:30.348,24.6920781015958,1.39963572784211,0,0.000885,0,0
0:0:30.447,25.6884797399956,1.45479378608219,0,0.000885,0,0
0:0:30.545,25.6884797399956,1.45479378608219,0,0.000885,0,0
0:0:30.644,26.6270544975955,1.50995184432227,0,0.000885,0,0
0:0:30.745,27.5078023743953,1.55821514528234,0,0.000885,0,0
0:0:30.846,27.9748656423952,1.58579417440239,0,0.000885,0,0
0:0:30.944,27.9748656423952,1.58579417440239,0,0.000885,0,0
0:0:31.042,28.6198577743951,1.62026796080244,0,0.000885,0,0
0:0:31.140,29.384951889595,1.6616365044825,0,0.000885,0,0
0:0:31.241,29.8520151575949,1.68921553360254,0,0.000885,0,0
0:0:31.342,29.8520151575949,1.68921553360254,0,0.000885,0,0
0:0:31.444,30.3235266471949,1.71679456272258,0,0.000885,0,0
0:0:31.544,30.9106918983948,1.75126834912263,0,0.000885,0,0
0:0:31.647,31.6135109111946,1.78574213552269,0,0.000885,0,0
0:0:31.748,31.6135109111946,1.78574213552269,0,0.000885,0,0
0:0:31.851,32.3741568047945,1.83400543648276,0,0.000885,0,0
0:0:31.952,32.7833931919944,1.85468970832279,0,0.000885,0,0
0:0:32.054,33.8998968135942,1.91674252384288,0,0.000885,0,0
0:0:32.154,33.8998968135942,1.91674252384288,0,0.000885,0,0
0:0:32.256,34.4292351839942,1.95121631024293,0,0.000885,0,0
0:0:32.357,35.6613925671939,2.02016388304304,0,0.000885,0,0
0:0:32.459,35.8927000903939,2.03395339760306,0,0.000885,0,0
0:0:32.560,35.8927000903939,2.03395339760306,0,0.000885,0,0
0:0:32.660,36.5999673247938,2.06842718400311,0,0.000885,0,0
0:0:32.761,37.3027863375937,2.10979572768317,0,0.000885,0,0
0:0:32.862,37.3027863375937,2.10979572768317,0,0.000885,0,0
0:0:32.963,37.3027863375937,2.10979572768317,0,0.000885,0,0
0:0:33.064,38.0634322311935,2.15116427136324,0,0.000885,0,0
0:0:33.162,38.3570148567935,2.17184854320327,0,0.000885,0,0
0:0:33.262,38.9441801079934,2.20632232960332,0,0.000885,0,0
0:0:33.363,38.9441801079934,2.20632232960332,0,0.000885,0,0
0:0:33.462,39.4112433759933,2.22700660144335,0,0.000885,0,0
0:0:33.560,39.7671011039932,2.24769087328338,0,0.000885,0,0
0:0:33.659,39.9984086271932,2.2614803878434,0,0.000885,0,0
0:0:33.759,39.9984086271932,2.2614803878434,0,0.000885,0,0
0:0:33.862,40.8213296231931,2.30974368880347,0,0.000885,0,0
0:0:33.962,41.172739129593,2.33042796064351,0,0.000885,0,0
0:0:34.059,41.172739129593,2.33042796064351,0,0.000885,0,0
0:0:34.157,41.408494874393,2.34421747520353,0,0.000885,0,0
0:0:34.258,42.2269676487928,2.3924807761636,0,0.000885,0,0
0:0:34.358,43.1077155255927,2.44074407712367,0,0.000885,0,0
0:0:34.458,43.1077155255927,2.44074407712367,0,0.000885,0,0
0:0:34.556,43.4012981511926,2.45453359168369,0,0.000885,0,0
0:0:34.655,44.0462902831925,2.49590213536375,0,0.000885,0,0
0:0:34.755,44.2820460279925,2.50279689264376,0,0.000885,0,0
0:0:34.857,44.2820460279925,2.50279689264376,0,0.000885,0,0
0:0:34.958,44.9270381599924,2.54416543632383,0,0.000885,0,0
0:0:35.056,45.6298571727923,2.58553398000389,0,0.000885,0,0
0:0:35.152,46.6262588111921,2.64069203824397,0,0.000885,0,0
0:0:35.253,46.6262588111921,2.64069203824397,0,0.000885,0,0
0:0:35.354,47.329077823992,2.67516582464402,0,0.000885,0,0
0:0:35.455,47.9740699559919,2.71653436832409,0,0.000885,0,0
0:0:35.553,47.9740699559919,2.71653436832409,0,0.000885,0,0
0:0:35.650,48.6813371903917,2.75790291200415,0,0.000885,0,0
0:0:35.749,49.4419830839916,2.79927145568421,0,0.000885,0,0
0:0:35.851,50.3227309607915,2.84753475664428,0,0.000885,0,0
0:0:35.952,50.3227309607915,2.84753475664428,0,0.000885,0,0
0:0:36.052,50.7897942287914,2.87511378576432,0,0.000885,0,0
0:0:36.154,51.4970614631913,2.91648232944439,0,0.000885,0,0
0:0:36.256,51.8484709695912,2.93716660128442,0,0.000885,0,0
0:0:36.357,51.8484709695912,2.93716660128442,0,0.000885,0,0
0:0:36.459,52.6669437439911,2.97853514496448,0,0.000885,0,0
0:0:36.561,53.3697627567909,3.01990368864454,0,0.000885,0,0
0:0:36.662,54.0192031103908,3.05437747504459,0,0.000885,0,0
0:0:36.763,54.0192031103908,3.05437747504459,0,0.000885,0,0
0:0:36.863,54.6641952423907,3.09574601872466,0,0.000885,0,0
0:0:36.965,55.0734316295906,3.11643029056469,0,0.000885,0,0
0:0:37.066,55.6027699999906,3.14400931968473,0,0.000885,0,0
0:0:37.167,55.6027699999906,3.14400931968473,0,0.000885,0,0
0:0:37.267,56.1276601487905,3.17848310608478,0,0.000885,0,0
0:0:37.368,56.4790696551904,3.19916737792481,0,0.000885,0,0
0:0:37.470,57.0084080255903,3.22674640704485,0,0.000885,0,0
0:0:37.571,57.0084080255903,3.22674640704485,0,0.000885,0,0
0:0:37.669,57.3598175319903,3.24743067888488,0,0.000885,0,0
0:0:37.768,58.1827385279901,3.29569397984496,0,0.000885,0,0
0:0:37.870,58.94338442159,3.33706252352502,0,0.000885,0,0
0:0:37.968,58.94338442159,3.33706252352502,0,0.000885,0,0
0:0:38.069,59.4727227919899,3.36464155264506,0,0.000885,0,0
0:0:38.167,59.9976129407898,3.3922205817651,0,0.000885,0,0
0:0:38.267,60.5269513111897,3.42669436816515,0,0.000885,0,0
0:0:38.367,60.5269513111897,3.42669436816515,0,0.000885,0,0
0:0:38.468,60.9984628007896,3.4542733972852,0,0.000885,0,0
0:0:38.567,61.7012818135895,3.48874718368525,0,0.000885,0,0
0:0:38.664,61.7012818135895,3.48874718368525,0,0.000885,0,0
0:0:38.762,61.9948644391895,3.50943145552528,0,0.000885,0,0
0:0:38.864,62.6398565711894,3.54390524192533,0,0.000885,0,0
0:0:38.964,63.4583293455892,3.5921685428854,0,0.000885,0,0
0:0:39.065,63.4583293455892,3.5921685428854,0,0.000885,0,0
0:0:39.163,64.3969041031891,3.64732660112549,0,0.000885,0,0
0:0:39.261,64.690486728789,3.66111611568551,0,0.000885,0,0
0:0:39.363,65.2198250991889,3.68869514480555,0,0.000885,0,0
0:0:39.463,65.2198250991889,3.68869514480555,0,0.000885,0,0
0:0:39.563,65.4555808439889,3.70248465936557,0,0.000885,0,0
0:0:39.660,65.9804709927888,3.73695844576562,0,0.000885,0,0
0:0:39.759,66.9190457503886,3.78522174672569,0,0.000885,0,0
0:0:39.859,66.9190457503886,3.78522174672569,0,0.000885,0,0
0:0:39.961,67.6218647631885,3.82659029040576,0,0.000885,0,0
0:0:40.061,68.3291319975884,3.86795883408582,0,0.000885,0,0
0:0:40.160,68.8540221463883,3.89553786320586,0,0.000885,0,0
0:0:40.258,68.8540221463883,3.89553786320586,0,0.000885,0,0
0:0:40.358,69.9126988871881,3.95759067872595,0,0.000885,0,0
0:0:40.460,70.379762155188,3.98516970784599,0,0.000885,0,0
0:0:40.560,70.909100525588,4.01274873696604,0,0.000885,0,0
0:0:40.658,70.909100525588,4.01274873696604,0,0.000885,0,0
0:0:40.756,71.5540926575878,4.04722252336609,0,0.000885,0,0
0:0:40.857,72.0211559255878,4.07480155248613,0,0.000885,0,0
0:0:40.957,72.0211559255878,4.07480155248613,0,0.000885,0,0
0:0:41.059,72.6083211767877,4.10927533888618,0,0.000885,0,0
0:0:41.160,73.5468959343875,4.16443339712626,0,0.000885,0,0
0:0:41.262,74.0762343047874,4.19201242624631,0,0.000885,0,0
0:0:41.363,74.0762343047874,4.19201242624631,0,0.000885,0,0
0:0:41.466,74.7790533175873,4.23338096992637,0,0.000885,0,0
0:0:41.567,75.3083916879872,4.26095999904641,0,0.000885,0,0
0:0:41.668,75.8332818367871,4.28853902816645,0,0.000885,0,0
0:0:41.769,75.8332818367871,4.28853902816645,0,0.000885,0,0
0:0:41.870,76.246966445587,4.31611805728649,0,0.000885,0,0
0:0:41.971,76.771856594387,4.34369708640653,0,0.000885,0,0
0:0:42.073,77.2433680839869,4.37127611552657,0,0.000885,0,0
0:0:42.171,77.2433680839869,4.37127611552657,0,0.000885,0,0
0:0:42.273,78.1819428415867,4.42643417376666,0,0.000885,0,0
0:0:42.373,78.0040139775868,4.41264465920664,0,0.000885,0,0
0:0:42.475,78.5333523479867,4.44711844560669,0,0.000885,0,0
0:0:42.575,78.5333523479867,4.44711844560669,0,0.000885,0,0
0:0:42.675,79.4141002247865,4.49538174656676,0,0.000885,0,0
0:0:42.773,80.0590923567864,4.52985553296681,0,0.000885,0,0
0:0:42.871,80.5839825055863,4.55743456208686,0,0.000885,0,0
0:0:42.972,80.5839825055863,4.55743456208686,0,0.000885,0,0
0:0:43.073,81.4069035015862,4.60569786304693,0,0.000885,0,0
0:0:43.172,82.229824497586,4.653961164007,0,0.000885,0,0
0:0:43.271,83.2262261359859,4.70911922224708,0,0.000885,0,0
0:0:43.368,83.2262261359859,4.70911922224708,0,0.000885,0,0
0:0:43.470,83.8133913871858,4.74359300864713,0,0.000885,0,0
0:0:43.571,83.9290451487857,4.75048776592715,0,0.000885,0,0
0:0:43.671,84.5162103999857,4.7849615523272,0,0.000885,0,0
0:0:43.769,84.5162103999857,4.7849615523272,0,0.000885,0,0
0:0:43.867,84.8676199063856,4.80564582416723,0,0.000885,0,0
0:0:43.969,85.6282657999855,4.84701436784729,0,0.000885,0,0
0:0:44.068,85.6282657999855,4.84701436784729,0,0.000885,0,0
0:0:44.168,85.9796753063854,4.86769863968732,0,0.000885,0,0
0:0:44.267,86.5090136767853,4.89527766880736,0,0.000885,0,0
0:0:44.365,87.5632421959851,4.95733048432746,0,0.000885,0,0
0:0:44.466,87.5632421959851,4.95733048432746,0,0.000885,0,0
0:0:44.568,87.9190999239851,4.97801475616749,0,0.000885,0,0
0:0:44.668,88.386163191985,4.99869902800752,0,0.000885,0,0
0:0:44.766,89.3247379495848,5.0538570862476,0,0.000885,0,0
0:0:44.862,89.3247379495848,5.0538570862476,0,0.000885,0,0
0:0:44.964,89.7918012175847,5.08143611536764,0,0.000885,0,0
0:0:45.064,90.5568953327846,5.1228046590477,0,0.000885,0,0
0:0:45.165,91.0862337031845,5.15727844544776,0,0.000885,0,0
0:0:45.263,91.0862337031845,5.15727844544776,0,0.000885,0,0
0:0:45.361,91.4954700903845,5.17796271728779,0,0.000885,0,0
0:0:45.461,92.0826353415844,5.21243650368784,0,0.000885,0,0
0:0:45.563,92.4918717287843,5.23312077552787,0,0.000885,0,0
0:0:45.663,92.4918717287843,5.23312077552787,0,0.000885,0,0
0:0:45.762,93.2525176223842,5.27448931920793,0,0.000885,0,0
0:0:45.860,93.8396828735841,5.30896310560798,0,0.000885,0,0
0:0:45.959,93.8396828735841,5.30896310560798,0,0.000885,0,0
0:0:46.059,94.6047769887839,5.35033164928805,0,0.000885,0,0
0:0:46.160,95.4810766439838,5.40548970752813,0,0.000885,0,0
