Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,6/24/2021,05:14,Cylinder,150,1,300,0,3.6,3,0.25,1157.06,65.48
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:21.932,5.92503117119899,0.337843106720508,0,0.000885,0,0
0:0:22.031,8.21141707359861,0.461948737760695,0,0.000885,0,0
0:0:22.135,10.8492124823982,0.613633397920923,0,0.000885,0,0
0:0:22.236,10.8492124823982,0.613633397920923,0,0.000885,0,0
0:0:22.335,13.4291810103977,0.758423300801141,0,0.000885,0,0
0:0:22.442,13.1978734871978,0.74463378624112,0,0.000885,0,0
0:0:22.543,13.1355983847978,0.74463378624112,0,0.000885,0,0
0:0:22.643,13.1355983847978,0.74463378624112,0,0.000885,0,0
0:0:22.742,13.1355983847978,0.74463378624112,0,0.000885,0,0
0:0:22.840,12.9621177423978,0.730844271681099,0,0.000885,0,0
0:0:22.938,12.9621177423978,0.730844271681099,0,0.000885,0,0
0:0:23.037,13.0199446231978,0.73773902896111,0,0.000885,0,0
0:0:23.138,12.4327793719979,0.703265242561058,0,0.000885,0,0
0:0:23.238,12.3749524911979,0.703265242561058,0,0.000885,0,0
0:0:23.337,12.3749524911979,0.703265242561058,0,0.000885,0,0
0:0:23.431,12.6107082359979,0.710159999841068,0,0.000885,0,0
0:0:23.532,12.3749524911979,0.703265242561058,0,0.000885,0,0
0:0:23.632,12.3749524911979,0.703265242561058,0,0.000885,0,0
0:0:23.732,12.3749524911979,0.703265242561058,0,0.000885,0,0
0:0:23.841,12.6685351167978,0.717054757121078,0,0.000885,0,0
0:0:23.937,12.6685351167978,0.717054757121078,0,0.000885,0,0
0:0:24.037,13.4291810103977,0.758423300801141,0,0.000885,0,0
0:0:24.138,13.4291810103977,0.758423300801141,0,0.000885,0,0
0:0:24.239,13.9006924999976,0.786002329921182,0,0.000885,0,0
