Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,6/24/2021,06:11,Cylinder,150,1,300,0,3.6,3,0.24,618.44,35
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:19.984,6.27644067759893,0.358527378560539,0,0.000885,0,0
0:0:20.083,12.8464639807978,0.723949514401089,0,0.000885,0,0
0:0:20.180,16.9521725175971,0.958371261921441,0,0.000885,0,0
0:0:20.279,16.9521725175971,0.958371261921441,0,0.000885,0,0
0:0:20.380,18.1220547983969,1.02731883472155,0,0.000885,0,0
0:0:20.481,17.597164649597,0.992845048321493,0,0.000885,0,0
0:0:20.579,17.597164649597,0.992845048321493,0,0.000885,0,0
0:0:20.675,17.654991530397,0.999739805601504,0,0.000885,0,0
0:0:20.775,17.419235785597,0.985950291041483,0,0.000885,0,0
0:0:20.876,17.534889547197,0.992845048321493,0,0.000885,0,0
0:0:20.976,17.534889547197,0.992845048321493,0,0.000885,0,0
0:0:21.075,17.0678262791971,0.965266019201452,0,0.000885,0,0
0:0:21.173,17.0678262791971,0.965266019201452,0,0.000885,0,0
0:0:21.271,17.1256531599971,0.972160776481462,0,0.000885,0,0
0:0:21.373,17.1256531599971,0.972160776481462,0,0.000885,0,0
0:0:21.473,16.6585898919972,0.944581747361421,0,0.000885,0,0
0:0:21.571,16.7742436535972,0.951476504641431,0,0.000885,0,0
0:0:21.668,16.7742436535972,0.951476504641431,0,0.000885,0,0
0:0:21.767,16.7742436535972,0.951476504641431,0,0.000885,0,0
0:0:21.868,16.4806610279972,0.9307922328014,0,0.000885,0,0
0:0:21.969,16.5963147895972,0.93768699008141,0,0.000885,0,0
0:0:22.066,16.5963147895972,0.93768699008141,0,0.000885,0,0
0:0:22.165,16.2449052831972,0.917002718241379,0,0.000885,0,0
0:0:22.264,16.1292515215973,0.910107960961369,0,0.000885,0,0
0:0:22.365,16.4228341471972,0.9307922328014,0,0.000885,0,0
0:0:22.466,16.4228341471972,0.9307922328014,0,0.000885,0,0
0:0:22.563,17.1256531599971,0.972160776481462,0,0.000885,0,0
0:0:22.660,16.9521725175971,0.958371261921441,0,0.000885,0,0
0:0:22.759,17.1834800407971,0.972160776481462,0,0.000885,0,0
0:0:22.860,17.1834800407971,0.972160776481462,0,0.000885,0,0
0:0:22.960,17.3035820239971,0.979055533761473,0,0.000885,0,0
0:0:23.060,18.0064010367969,1.02042407744153,0,0.000885,0,0
0:0:23.158,18.0064010367969,1.02042407744153,0,0.000885,0,0
0:0:23.256,18.2999836623969,1.03421359200156,0,0.000885,0,0
0:0:23.358,18.5357394071969,1.04800310656158,0,0.000885,0,0
0:0:23.459,19.0028026751968,1.07558213568162,0,0.000885,0,0
0:0:23.558,19.0028026751968,1.07558213568162,0,0.000885,0,0
0:0:23.663,19.7634485687966,1.11695067936168,0,0.000885,0,0
0:0:23.762,20.1771331775966,1.14452970848172,0,0.000885,0,0
0:0:23.863,20.8799521903965,1.17900349488177,0,0.000885,0,0
0:0:23.964,20.8799521903965,1.17900349488177,0,0.000885,0,0
0:0:24.064,21.4671174415964,1.21347728128183,0,0.000885,0,0
0:0:24.163,21.8185269479963,1.23416155312186,0,0.000885,0,0
0:0:24.260,22.6369997223962,1.28242485408193,0,0.000885,0,0
0:0:24.361,22.6369997223962,1.28242485408193,0,0.000885,0,0
0:0:24.462,23.344266956796,1.32379339776199,0,0.000885,0,0
0:0:24.563,24.2205666119959,1.37205669872206,0,0.000885,0,0
0:0:24.661,24.8700069655958,1.40653048512212,0,0.000885,0,0
0:0:24.758,24.8700069655958,1.40653048512212,0,0.000885,0,0
0:0:24.859,26.1599912295956,1.48237281520223,0,0.000885,0,0
0:0:24.961,27.0985659871954,1.5306361161623,0,0.000885,0,0
0:0:25.062,28.0949676255952,1.5926889316824,0,0.000885,0,0
0:0:25.158,28.0949676255952,1.5926889316824,0,0.000885,0,0
0:0:25.258,28.8556135191951,1.63405747536246,0,0.000885,0,0
0:0:25.358,29.678534515195,1.68232077632253,0,0.000885,0,0
0:0:25.460,30.3235266471949,1.71679456272258,0,0.000885,0,0
0:0:25.560,30.3235266471949,1.71679456272258,0,0.000885,0,0
0:0:25.661,31.2621014047947,1.77195262096267,0,0.000885,0,0
0:0:25.762,32.2006761623945,1.82021592192274,0,0.000885,0,0
0:0:25.864,32.2006761623945,1.82021592192274,0,0.000885,0,0
0:0:25.965,32.7255663111944,1.85468970832279,0,0.000885,0,0
0:0:26.068,33.4328335455943,1.88916349472284,0,0.000885,0,0
0:0:26.169,34.4292351839942,1.95121631024293,0,0.000885,0,0
0:0:26.271,34.4292351839942,1.95121631024293,0,0.000885,0,0
0:0:26.370,34.7806446903941,1.96500582480296,0,0.000885,0,0
0:0:26.472,35.132054196794,1.98569009664299,0,0.000885,0,0
0:0:26.573,35.305534839194,1.99947961120301,0,0.000885,0,0
0:0:26.673,35.305534839194,1.99947961120301,0,0.000885,0,0
0:0:26.774,35.8927000903939,2.03395339760306,0,0.000885,0,0
0:0:26.876,36.3063846991938,2.05463766944309,0,0.000885,0,0
0:0:26.977,36.5999673247938,2.06842718400311,0,0.000885,0,0
0:0:27.078,36.5999673247938,2.06842718400311,0,0.000885,0,0
0:0:27.177,37.1248574735937,2.10290097040316,0,0.000885,0,0
0:0:27.275,37.8899515887936,2.14426951408323,0,0.000885,0,0
0:0:27.374,38.2413610951935,2.16495378592326,0,0.000885,0,0
0:0:27.475,38.2413610951935,2.16495378592326,0,0.000885,0,0
0:0:27.576,38.4726686183935,2.17874330048328,0,0.000885,0,0
0:0:27.677,39.0020069887934,2.20632232960332,0,0.000885,0,0
0:0:27.774,39.4735184783933,2.23390135872336,0,0.000885,0,0
0:0:27.871,39.4735184783933,2.23390135872336,0,0.000885,0,0
0:0:27.972,39.9405817463932,2.2614803878434,0,0.000885,0,0
0:0:28.074,40.5855738783931,2.29595417424345,0,0.000885,0,0
0:0:28.174,41.057085367993,2.32353320336349,0,0.000885,0,0
0:0:28.270,41.057085367993,2.32353320336349,0,0.000885,0,0
0:0:28.369,41.8755581423929,2.37179650432357,0,0.000885,0,0
0:0:28.470,42.2892427511928,2.3924807761636,0,0.000885,0,0
0:0:28.571,42.6406522575928,2.41316504800363,0,0.000885,0,0
0:0:28.672,42.6406522575928,2.41316504800363,0,0.000885,0,0
0:0:28.770,43.5169519127926,2.4614283489637,0,0.000885,0,0
0:0:28.868,44.2242191471925,2.50279689264376,0,0.000885,0,0
0:0:28.967,44.2242191471925,2.50279689264376,0,0.000885,0,0
0:0:29.069,45.1005188023923,2.55106019360384,0,0.000885,0,0
0:0:29.170,45.8077860367922,2.5924287372839,0,0.000885,0,0
0:0:29.268,46.6840856919921,2.64069203824397,0,0.000885,0,0
0:0:29.365,46.6840856919921,2.64069203824397,0,0.000885,0,0
0:0:29.465,47.4491798071919,2.68206058192403,0,0.000885,0,0
0:0:29.565,47.7427624327919,2.70274485376407,0,0.000885,0,0
0:0:29.667,48.4455814455918,2.74411339744413,0,0.000885,0,0
0:0:29.766,48.4455814455918,2.74411339744413,0,0.000885,0,0
0:0:29.863,49.2062273391916,2.78548194112419,0,0.000885,0,0
0:0:29.961,49.5576368455916,2.80616621296422,0,0.000885,0,0
0:0:30.063,50.3227309607915,2.84753475664428,0,0.000885,0,0
0:0:30.164,50.3227309607915,2.84753475664428,0,0.000885,0,0
0:0:30.265,50.9677230927913,2.88200854304433,0,0.000885,0,0
0:0:30.366,51.7283689863912,2.93027184400441,0,0.000885,0,0
0:0:30.469,52.4934631015911,2.97164038768447,0,0.000885,0,0
0:0:30.571,52.4934631015911,2.97164038768447,0,0.000885,0,0
0:0:30.670,52.724770624791,2.98542990224449,0,0.000885,0,0
0:0:30.772,53.3119358759909,3.01990368864454,0,0.000885,0,0
0:0:30.874,53.7834473655909,3.04058796048457,0,0.000885,0,0
0:0:30.974,53.7834473655909,3.04058796048457,0,0.000885,0,0
0:0:31.076,54.1926837527908,3.06816698960461,0,0.000885,0,0
0:0:31.177,54.4284394975908,3.08195650416464,0,0.000885,0,0
0:0:31.278,55.1312585103906,3.11643029056469,0,0.000885,0,0
0:0:31.378,55.1312585103906,3.11643029056469,0,0.000885,0,0
0:0:31.480,55.8340775231905,3.15779883424475,0,0.000885,0,0
0:0:31.580,56.3055890127904,3.18537786336479,0,0.000885,0,0
0:0:31.683,57.0662349063903,3.22674640704485,0,0.000885,0,0
0:0:31.782,57.0662349063903,3.22674640704485,0,0.000885,0,0
0:0:31.880,57.7690539191902,3.26811495072492,0,0.000885,0,0
0:0:31.977,58.5919749151901,3.31637825168499,0,0.000885,0,0
0:0:32.078,58.5919749151901,3.31637825168499,0,0.000885,0,0
0:0:32.179,59.05903818319,3.34395728080503,0,0.000885,0,0
0:0:32.280,59.6462034343899,3.37843106720508,0,0.000885,0,0
0:0:32.378,60.2911955663898,3.41290485360513,0,0.000885,0,0
0:0:32.475,60.2911955663898,3.41290485360513,0,0.000885,0,0
0:0:32.574,60.6426050727897,3.43358912544516,0,0.000885,0,0
0:0:32.676,61.2297703239896,3.46806291184522,0,0.000885,0,0
0:0:32.777,61.8747624559895,3.50253669824527,0,0.000885,0,0
0:0:32.876,61.8747624559895,3.50253669824527,0,0.000885,0,0
0:0:32.973,62.4041008263894,3.53011572736531,0,0.000885,0,0
0:0:33.073,63.0490929583893,3.56458951376536,0,0.000885,0,0
0:0:33.174,63.9876677159891,3.61974757200544,0,0.000885,0,0
0:0:33.275,63.9876677159891,3.61974757200544,0,0.000885,0,0
0:0:33.373,64.4547309839891,3.64732660112549,0,0.000885,0,0
0:0:33.470,65.2198250991889,3.68869514480555,0,0.000885,0,0
0:0:33.569,65.2198250991889,3.68869514480555,0,0.000885,0,0
0:0:33.670,65.7491634695888,3.7231689312056,0,0.000885,0,0
0:0:33.771,66.2740536183887,3.75074796032564,0,0.000885,0,0
0:0:33.872,66.8612188695886,3.78522174672569,0,0.000885,0,0
0:0:33.968,66.8612188695886,3.78522174672569,0,0.000885,0,0
0:0:34.067,67.4483841207885,3.81969553312575,0,0.000885,0,0
0:0:34.169,67.9154473887885,3.84037980496578,0,0.000885,0,0
0:0:34.270,68.5026126399884,3.87485359136583,0,0.000885,0,0
0:0:34.369,68.5026126399884,3.87485359136583,0,0.000885,0,0
0:0:34.466,69.4411873975882,3.93001164960591,0,0.000885,0,0
0:0:34.565,69.8548720063881,3.95069592144594,0,0.000885,0,0
0:0:34.666,70.437589035988,3.98516970784599,0,0.000885,0,0
0:0:34.767,70.437589035988,3.98516970784599,0,0.000885,0,0
0:0:34.867,70.788998542388,4.00585397968602,0,0.000885,0,0
0:0:34.965,71.4384388959879,4.04032776608608,0,0.000885,0,0
0:0:35.063,72.1412579087878,4.08169630976614,0,0.000885,0,0
0:0:35.164,72.1412579087878,4.08169630976614,0,0.000885,0,0
0:0:35.265,72.9597306831876,4.12995961072621,0,0.000885,0,0
0:0:35.367,73.1954864279876,4.14374912528623,0,0.000885,0,0
0:0:35.467,73.1954864279876,4.14374912528623,0,0.000885,0,0
0:0:35.570,73.6047228151875,4.16443339712626,0,0.000885,0,0
0:0:35.671,74.0762343047874,4.19201242624631,0,0.000885,0,0
0:0:35.773,75.0148090623873,4.24717048448639,0,0.000885,0,0
0:0:35.874,75.0148090623873,4.24717048448639,0,0.000885,0,0
0:0:35.976,75.7176280751871,4.28164427088644,0,0.000885,0,0
0:0:36.076,76.362620207187,4.3230128145665,0,0.000885,0,0
0:0:36.178,77.3011949647869,4.37127611552657,0,0.000885,0,0
0:0:36.278,77.3011949647869,4.37127611552657,0,0.000885,0,0
0:0:36.379,78.0040139775868,4.41264465920664,0,0.000885,0,0
0:0:36.480,78.4755254671867,4.44022368832668,0,0.000885,0,0
0:0:36.581,78.7691080927866,4.4540132028867,0,0.000885,0,0
0:0:36.682,78.7691080927866,4.4540132028867,0,0.000885,0,0
0:0:36.785,79.5297539863865,4.50227650384677,0,0.000885,0,0
0:0:36.885,80.0012654759864,4.52985553296681,0,0.000885,0,0
0:0:36.982,80.6462576079863,4.56432931936687,0,0.000885,0,0
0:0:37.081,80.6462576079863,4.56432931936687,0,0.000885,0,0
0:0:37.181,80.9976671143862,4.5850135912069,0,0.000885,0,0
0:0:37.282,81.6426592463861,4.61948737760695,0,0.000885,0,0
0:0:37.384,82.581234003986,4.67464543584703,0,0.000885,0,0
0:0:37.482,82.581234003986,4.67464543584703,0,0.000885,0,0
0:0:37.578,83.4575336591858,4.7229087368071,0,0.000885,0,0
0:0:37.677,83.9868720295857,4.75048776592715,0,0.000885,0,0
0:0:37.779,84.2804546551857,4.77117203776718,0,0.000885,0,0
0:0:37.879,84.2804546551857,4.77117203776718,0,0.000885,0,0
0:0:37.978,84.5740372807856,4.7849615523272,0,0.000885,0,0
0:0:38.077,85.2190294127855,4.81943533872725,0,0.000885,0,0
0:0:38.176,85.7483677831854,4.8539091251273,0,0.000885,0,0
0:0:38.277,85.7483677831854,4.8539091251273,0,0.000885,0,0
0:0:38.379,86.2154310511853,4.88148815424734,0,0.000885,0,0
0:0:38.479,86.6246674383853,4.90217242608737,0,0.000885,0,0
0:0:38.575,86.6246674383853,4.90217242608737,0,0.000885,0,0
0:0:38.673,87.5054153151851,4.95043572704745,0,0.000885,0,0
0:0:38.774,88.150407447185,4.99180427072751,0,0.000885,0,0
0:0:38.875,88.386163191985,4.99869902800752,0,0.000885,0,0
0:0:38.975,88.386163191985,4.99869902800752,0,0.000885,0,0
0:0:39.072,89.0889822047849,5.04006757168758,0,0.000885,0,0
0:0:39.172,89.6761474559848,5.07454135808763,0,0.000885,0,0
0:0:39.273,90.4990684519846,5.1228046590477,0,0.000885,0,0
0:0:39.374,90.4990684519846,5.1228046590477,0,0.000885,0,0
0:0:39.474,91.4376432095845,5.17106796000778,0,0.000885,0,0
0:0:39.573,91.9047064775844,5.19864698912782,0,0.000885,0,0
0:0:39.669,92.6075254903843,5.24001553280788,0,0.000885,0,0
0:0:39.768,92.6075254903843,5.24001553280788,0,0.000885,0,0
0:0:39.869,93.1946907415842,5.27448931920793,0,0.000885,0,0
0:0:39.971,93.6662022311841,5.30206834832797,0,0.000885,0,0
0:0:40.069,93.6662022311841,5.30206834832797,0,0.000885,0,0
0:0:40.166,94.253367482384,5.33654213472803,0,0.000885,0,0
0:0:40.267,94.8983596143839,5.37101592112808,0,0.000885,0,0
0:0:40.368,95.6011786271838,5.41238446480814,0,0.000885,0,0
0:0:40.469,95.6011786271838,5.41238446480814,0,0.000885,0,0
0:0:40.570,96.0682418951837,5.43306873664817,0,0.000885,0,0
0:0:40.672,96.7132340271836,5.47443728032823,0,0.000885,0,0
0:0:40.774,97.3582261591835,5.50891106672829,0,0.000885,0,0
0:0:40.875,97.3582261591835,5.50891106672829,0,0.000885,0,0
0:0:40.977,97.8297376487834,5.53649009584833,0,0.000885,0,0
0:0:41.079,98.5903835423833,5.57785863952839,0,0.000885,0,0
0:0:41.180,99.0618950319832,5.60543766864843,0,0.000885,0,0
0:0:41.280,99.0618950319832,5.60543766864843,0,0.000885,0,0
0:0:41.382,99.7647140447831,5.64680621232849,0,0.000885,0,0
0:0:41.484,100.116123551183,5.66749048416852,0,0.000885,0,0
0:0:41.585,100.996871427983,5.7157537851286,0,0.000885,0,0
0:0:41.686,100.996871427983,5.7157537851286,0,0.000885,0,0
0:0:41.786,101.699690440783,5.75712232880866,0,0.000885,0,0
0:0:41.887,101.993273066383,5.77091184336868,0,0.000885,0,0
0:0:41.988,102.108926827983,5.77780660064869,0,0.000885,0,0
0:0:42.088,102.108926827983,5.77780660064869,0,0.000885,0,0
0:0:42.185,102.522611436783,5.79849087248872,0,0.000885,0,0
0:0:42.284,103.225430449582,5.83985941616878,0,0.000885,0,0
0:0:42.384,104.279658968782,5.90191223168888,0,0.000885,0,0
0:0:42.486,104.279658968782,5.90191223168888,0,0.000885,0,0
0:0:42.586,105.218233726382,5.95707028992896,0,0.000885,0,0
0:0:42.685,105.921052739182,5.99154407632901,0,0.000885,0,0
0:0:42.781,106.098981603182,6.00533359088903,0,0.000885,0,0
0:0:42.882,106.098981603182,6.00533359088903,0,0.000885,0,0
0:0:42.984,106.743973735182,6.03980737728908,0,0.000885,0,0
0:0:43.084,107.504619628782,6.08117592096915,0,0.000885,0,0
0:0:43.181,107.976131118382,6.10875495008919,0,0.000885,0,0
0:0:43.278,107.976131118382,6.10875495008919,0,0.000885,0,0
0:0:43.378,108.678950131182,6.15012349376925,0,0.000885,0,0
0:0:43.480,109.208288501581,6.17770252288929,0,0.000885,0,0
0:0:43.580,109.208288501581,6.17770252288929,0,0.000885,0,0
0:0:43.680,109.968934395181,6.22596582384936,0,0.000885,0,0
0:0:43.778,110.378170782381,6.24665009568939,0,0.000885,0,0
0:0:43.878,111.143264897581,6.28801863936946,0,0.000885,0,0
0:0:43.979,111.143264897581,6.28801863936946,0,0.000885,0,0
0:0:44.080,111.903910791181,6.32938718304952,0,0.000885,0,0
0:0:44.178,112.433249161581,6.36386096944957,0,0.000885,0,0
0:0:44.276,112.842485548781,6.3845452412896,0,0.000885,0,0
0:0:44.374,112.842485548781,6.3845452412896,0,0.000885,0,0
0:0:44.475,113.429650799981,6.41901902768965,0,0.000885,0,0
0:0:44.576,113.781060306381,6.43970329952969,0,0.000885,0,0
0:0:44.677,114.546154421581,6.48107184320975,0,0.000885,0,0
0:0:44.773,114.546154421581,6.48107184320975,0,0.000885,0,0
0:0:44.872,115.12887145118,6.5155456296098,0,0.000885,0,0
0:0:44.973,116.12972131118,6.57070368784988,0,0.000885,0,0
0:0:45.075,116.12972131118,6.57070368784988,0,0.000885,0,0
0:0:45.175,116.59678457918,6.59828271696992,0,0.000885,0,0
0:0:45.277,117.00602096638,6.61896698880996,0,0.000885,0,0
0:0:45.379,117.53535933678,6.65344077521001,0,0.000885,0,0
0:0:45.482,117.53535933678,6.65344077521001,0,0.000885,0,0
0:0:45.584,117.88676884318,6.67412504705004,0,0.000885,0,0
0:0:45.685,118.18035146878,6.68791456161006,0,0.000885,0,0
0:0:45.786,119.17675310718,6.74307261985014,0,0.000885,0,0
0:0:45.887,119.17675310718,6.74307261985014,0,0.000885,0,0
0:0:45.988,120.11532786478,6.79823067809023,0,0.000885,0,0
0:0:46.090,120.64466623518,6.82580970721027,0,0.000885,0,0
0:0:46.190,121.289658367179,6.86028349361032,0,0.000885,0,0
0:0:46.291,121.289658367179,6.86028349361032,0,0.000885,0,0
0:0:46.392,121.818996737579,6.89475728001037,0,0.000885,0,0
0:0:46.493,122.463988869579,6.92923106641042,0,0.000885,0,0
0:0:46.594,123.224634763179,6.97059961009048,0,0.000885,0,0
0:0:46.695,123.224634763179,6.97059961009048,0,0.000885,0,0
0:0:46.793,123.402563627179,6.98438912465051,0,0.000885,0,0
0:0:46.891,123.811800014379,7.00507339649054,0,0.000885,0,0
0:0:46.991,124.692547891179,7.05333669745061,0,0.000885,0,0
0:0:47.092,124.692547891179,7.05333669745061,0,0.000885,0,0
0:0:47.193,125.395366903979,7.09470524113067,0,0.000885,0,0
0:0:47.291,126.040359035979,7.12917902753072,0,0.000885,0,0
0:0:47.389,127.094587555178,7.19123184305082,0,0.000885,0,0
0:0:47.487,127.094587555178,7.19123184305082,0,0.000885,0,0
0:0:47.588,127.388170180778,7.21191611489085,0,0.000885,0,0
0:0:47.690,128.211091176778,7.25328465857091,0,0.000885,0,0
0:0:47.790,128.735981325578,7.28775844497096,0,0.000885,0,0
0:0:47.887,128.735981325578,7.28775844497096,0,0.000885,0,0
0:0:47.985,128.735981325578,7.28775844497096,0,0.000885,0,0
0:0:48.087,129.091839053578,7.30154795953098,0,0.000885,0,0
0:0:48.187,129.091839053578,7.30154795953098,0,0.000885,0,0
0:0:48.287,129.852484947178,7.34981126049105,0,0.000885,0,0
0:0:48.384,130.613130840778,7.39117980417112,0,0.000885,0,0
0:0:48.481,131.142469211178,7.41875883329116,0,0.000885,0,0
0:0:48.583,131.142469211178,7.41875883329116,0,0.000885,0,0
0:0:48.684,131.787461343178,7.46012737697122,0,0.000885,0,0
0:0:48.785,132.783862981577,7.5152854352113,0,0.000885,0,0
0:0:48.882,132.841689862377,7.5152854352113,0,0.000885,0,0
0:0:48.979,132.841689862377,7.5152854352113,0,0.000885,0,0
0:0:49.081,132.961791845577,7.52218019249131,0,0.000885,0,0
0:0:49.182,134.016020364777,7.58423300801141,0,0.000885,0,0
