Test ID:,Date Tested:,Time:,Test Type:,Width (mm):,Depth (mm):,Height (mm):,Age (days):,Weight (kN):,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,6/29/2021,04:32,Cube,150,150,150,7,8.37,0,77.3,3.43
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:10.165,10.0885665887983,0.448159223200674,0,0.000885,0,0
0:0:10.262,11.1427951079981,0.496422524160747,0,0.000885,0,0
0:0:10.358,11.1427951079981,0.496422524160747,0,0.000885,0,0
0:0:10.458,11.2006219887981,0.496422524160747,0,0.000885,0,0
0:0:10.557,11.0271413463981,0.489527766880736,0,0.000885,0,0
0:0:10.655,10.9693144655981,0.489527766880736,0,0.000885,0,0
0:0:10.750,10.9693144655981,0.489527766880736,0,0.000885,0,0
0:0:10.848,10.9693144655981,0.489527766880736,0,0.000885,0,0
0:0:10.948,11.1427951079981,0.496422524160747,0,0.000885,0,0
0:0:11.047,11.0271413463981,0.489527766880736,0,0.000885,0,0
0:0:11.143,11.0271413463981,0.489527766880736,0,0.000885,0,0
0:0:11.239,10.5556298567982,0.468843495040705,0,0.000885,0,0
0:0:11.336,10.9070393631981,0.482633009600726,0,0.000885,0,0
0:0:11.436,10.9070393631981,0.482633009600726,0,0.000885,0,0
0:0:11.532,11.2628970911981,0.503317281440757,0,0.000885,0,0
0:0:11.642,11.2628970911981,0.503317281440757,0,0.000885,0,0
0:0:11.747,11.787787239998,0.524001553280788,0,0.000885,0,0
0:0:11.845,11.787787239998,0.524001553280788,0,0.000885,0,0
0:0:11.945,11.965716103998,0.530896310560798,0,0.000885,0,0
0:0:12.045,12.7841888783978,0.56537009696085,0,0.000885,0,0
0:0:12.141,12.9621177423978,0.579159611520871,0,0.000885,0,0
0:0:12.237,12.9621177423978,0.579159611520871,0,0.000885,0,0
0:0:12.332,13.0777715039978,0.579159611520871,0,0.000885,0,0
0:0:12.431,13.4914561127977,0.599843883360902,0,0.000885,0,0
0:0:12.530,13.9006924999976,0.620528155200933,0,0.000885,0,0
0:0:12.629,13.9006924999976,0.620528155200933,0,0.000885,0,0
0:0:12.737,13.8428656191976,0.613633397920923,0,0.000885,0,0
0:0:12.832,14.5456846319975,0.648107184320975,0,0.000885,0,0
0:0:12.931,14.5456846319975,0.648107184320975,0,0.000885,0,0
0:0:13.030,14.8970941383975,0.661896698880996,0,0.000885,0,0
0:0:13.128,15.4842593895974,0.689475728001037,0,0.000885,0,0
0:0:13.233,15.7200151343973,0.696370485281047,0,0.000885,0,0
0:0:13.341,15.9513226575973,0.710159999841068,0,0.000885,0,0
0:0:13.440,15.9513226575973,0.710159999841068,0,0.000885,0,0
0:0:13.541,16.0714246407973,0.717054757121078,0,0.000885,0,0
0:0:13.639,16.8320705343971,0.75152854352113,0,0.000885,0,0
0:0:13.733,16.8320705343971,0.75152854352113,0,0.000885,0,0
0:0:13.841,16.6585898919972,0.73773902896111,0,0.000885,0,0
0:0:13.941,17.1834800407971,0.765318058081151,0,0.000885,0,0
0:0:14.040,16.7742436535972,0.74463378624112,0,0.000885,0,0
0:0:14.139,16.7742436535972,0.74463378624112,0,0.000885,0,0
0:0:14.243,17.1256531599971,0.758423300801141,0,0.000885,0,0
0:0:14.339,17.770645291997,0.792897087201193,0,0.000885,0,0
0:0:14.438,18.0642279175969,0.799791844481203,0,0.000885,0,0
0:0:14.538,18.0642279175969,0.799791844481203,0,0.000885,0,0
0:0:14.637,18.1798816791969,0.806686601761213,0,0.000885,0,0
0:0:14.744,18.8248738111968,0.834265630881255,0,0.000885,0,0
0:0:14.848,19.5899679263967,0.868739417281307,0,0.000885,0,0
0:0:14.946,19.5899679263967,0.868739417281307,0,0.000885,0,0
0:0:15.047,19.7634485687966,0.875634174561317,0,0.000885,0,0
0:0:15.146,20.1193062967966,0.896318446401348,0,0.000885,0,0
0:0:15.243,20.6441964455965,0.917002718241379,0,0.000885,0,0
0:0:15.338,20.6441964455965,0.917002718241379,0,0.000885,0,0
0:0:15.433,20.9956059519964,0.9307922328014,0,0.000885,0,0
0:0:15.533,21.4671174415964,0.951476504641431,0,0.000885,0,0
0:0:15.633,21.4671174415964,0.951476504641431,0,0.000885,0,0
0:0:15.731,21.6405980839963,0.965266019201452,0,0.000885,0,0
0:0:15.832,22.2277633351962,0.985950291041483,0,0.000885,0,0
0:0:15.932,22.1121095735962,0.985950291041483,0,0.000885,0,0
0:0:16.032,22.1121095735962,0.985950291041483,0,0.000885,0,0
0:0:16.132,22.5791728415962,1.00663456288151,0,0.000885,0,0
0:0:16.231,23.0506843311961,1.02731883472155,0,0.000885,0,0
0:0:16.330,23.695676463196,1.05489786384159,0,0.000885,0,0
0:0:16.430,23.695676463196,1.05489786384159,0,0.000885,0,0
0:0:16.529,24.3406685951959,1.08247689296163,0,0.000885,0,0
0:0:16.629,23.9314322079959,1.0617926211216,0,0.000885,0,0
0:0:16.727,24.4563223567958,1.08937165024164,0,0.000885,0,0
0:0:16.826,24.4563223567958,1.08937165024164,0,0.000885,0,0
0:0:16.925,24.8077318631958,1.10316116480166,0,0.000885,0,0
0:0:17.026,24.9278338463958,1.11005592208167,0,0.000885,0,0
0:0:17.125,25.3948971143957,1.1307401939217,0,0.000885,0,0
0:0:17.224,25.3948971143957,1.1307401939217,0,0.000885,0,0
0:0:17.330,25.6884797399956,1.14452970848172,0,0.000885,0,0
0:0:17.438,25.7463066207956,1.14452970848172,0,0.000885,0,0
0:0:17.538,26.0398892463956,1.15831922304174,0,0.000885,0,0
0:0:17.638,26.0398892463956,1.15831922304174,0,0.000885,0,0
0:0:17.738,26.5692276167955,1.17900349488177,0,0.000885,0,0
0:0:17.843,26.9784640039954,1.1996877667218,0,0.000885,0,0
0:0:17.939,26.9206371231954,1.1996877667218,0,0.000885,0,0
0:0:18.038,26.9206371231954,1.1996877667218,0,0.000885,0,0
0:0:18.138,27.3298735103954,1.21347728128183,0,0.000885,0,0
0:0:18.238,27.6812830167953,1.22726679584185,0,0.000885,0,0
0:0:18.344,27.7435581191953,1.23416155312186,0,0.000885,0,0
0:0:18.440,27.7435581191953,1.23416155312186,0,0.000885,0,0
0:0:18.538,28.2106213871952,1.25484582496189,0,0.000885,0,0
0:0:18.638,28.8556135191951,1.28242485408193,0,0.000885,0,0
0:0:18.738,28.8556135191951,1.28242485408193,0,0.000885,0,0
0:0:18.844,28.5620308935952,1.26863533952191,0,0.000885,0,0
0:0:18.939,29.0913692639951,1.29621436864195,0,0.000885,0,0
0:0:19.038,29.327125008795,1.30310912592196,0,0.000885,0,0
0:0:19.138,29.327125008795,1.30310912592196,0,0.000885,0,0
0:0:19.237,29.500605651195,1.31000388320197,0,0.000885,0,0
0:0:19.344,29.678534515195,1.31689864048198,0,0.000885,0,0
0:0:19.441,29.9721171407949,1.330688155042,0,0.000885,0,0
0:0:19.538,29.9721171407949,1.330688155042,0,0.000885,0,0
0:0:19.639,30.2656997663949,1.34447766960202,0,0.000885,0,0
0:0:19.738,30.6171092727948,1.35826718416204,0,0.000885,0,0
0:0:19.845,30.6749361535948,1.36516194144205,0,0.000885,0,0
0:0:19.940,30.6749361535948,1.36516194144205,0,0.000885,0,0
0:0:20.038,31.0841725407947,1.37895145600207,0,0.000885,0,0
0:0:20.138,31.4934089279947,1.39963572784211,0,0.000885,0,0
0:0:20.239,32.0227472983946,1.42031999968214,0,0.000885,0,0
0:0:20.337,32.0227472983946,1.42031999968214,0,0.000885,0,0
0:0:20.434,32.4319836855945,1.44100427152217,0,0.000885,0,0
0:0:20.537,32.5520856687945,1.44789902880218,0,0.000885,0,0
0:0:20.638,32.5520856687945,1.44789902880218,0,0.000885,0,0
0:0:20.738,32.6099125495945,1.44789902880218,0,0.000885,0,0
0:0:20.839,33.0769758175944,1.46858330064221,0,0.000885,0,0
0:0:20.937,33.3705584431943,1.48237281520223,0,0.000885,0,0
0:0:21.034,33.3705584431943,1.48237281520223,0,0.000885,0,0
0:0:21.137,33.7842430519943,1.50305708704226,0,0.000885,0,0
0:0:21.234,33.8998968135942,1.50995184432227,0,0.000885,0,0
0:0:21.332,33.7842430519943,1.50305708704226,0,0.000885,0,0
0:0:21.432,33.7842430519943,1.50305708704226,0,0.000885,0,0
0:0:21.531,34.0155505751942,1.50995184432227,0,0.000885,0,0
0:0:21.630,34.3714083031942,1.5306361161623,0,0.000885,0,0
0:0:21.730,34.4292351839942,1.5306361161623,0,0.000885,0,0
0:0:21.829,34.4292351839942,1.5306361161623,0,0.000885,0,0
0:0:21.927,35.0164004351941,1.55821514528234,0,0.000885,0,0
0:0:22.032,35.541290583994,1.57889941712237,0,0.000885,0,0
0:0:22.129,35.8348732095939,1.5926889316824,0,0.000885,0,0
0:0:22.228,35.8348732095939,1.5926889316824,0,0.000885,0,0
0:0:22.328,36.2441095967938,1.61337320352243,0,0.000885,0,0
0:0:22.427,36.8312748479937,1.63405747536246,0,0.000885,0,0
0:0:22.532,36.8312748479937,1.63405747536246,0,0.000885,0,0
0:0:22.630,37.1248574735937,1.64784698992248,0,0.000885,0,0
0:0:22.728,37.4762669799936,1.66853126176251,0,0.000885,0,0
0:0:22.828,37.7698496055936,1.67542601904252,0,0.000885,0,0
0:0:22.926,37.7698496055936,1.67542601904252,0,0.000885,0,0
0:0:23.023,38.1212591119935,1.69611029088255,0,0.000885,0,0
0:0:23.129,38.1212591119935,1.69611029088255,0,0.000885,0,0
0:0:23.229,38.4148417375935,1.70989980544257,0,0.000885,0,0
0:0:23.327,38.4148417375935,1.70989980544257,0,0.000885,0,0
0:0:23.426,38.5349437207935,1.70989980544257,0,0.000885,0,0
0:0:23.533,39.0598338695934,1.73747883456261,0,0.000885,0,0
0:0:23.641,39.5891722399933,1.75816310640264,0,0.000885,0,0
0:0:23.740,39.5891722399933,1.75816310640264,0,0.000885,0,0
0:0:23.840,39.8249279847932,1.77195262096267,0,0.000885,0,0
0:0:23.938,40.2341643719932,1.78574213552269,0,0.000885,0,0
0:0:24.044,40.6434007591931,1.80642640736272,0,0.000885,0,0
0:0:24.149,40.6434007591931,1.80642640736272,0,0.000885,0,0
0:0:24.248,41.057085367993,1.82711067920275,0,0.000885,0,0
0:0:24.348,40.994810265593,1.82021592192274,0,0.000885,0,0
0:0:24.447,41.288392891193,1.83400543648276,0,0.000885,0,0
0:0:24.544,41.288392891193,1.83400543648276,0,0.000885,0,0
0:0:24.640,41.524148635993,1.84779495104278,0,0.000885,0,0
0:0:24.739,41.8755581423929,1.8615844656028,0,0.000885,0,0
0:0:24.839,42.1113138871928,1.86847922288281,0,0.000885,0,0
0:0:24.938,42.1113138871928,1.86847922288281,0,0.000885,0,0
0:0:25.044,42.4627233935928,1.88916349472284,0,0.000885,0,0
0:0:25.139,42.6406522575928,1.89605825200285,0,0.000885,0,0
0:0:25.239,42.6406522575928,1.89605825200285,0,0.000885,0,0
0:0:25.338,42.9920617639927,1.90984776656287,0,0.000885,0,0
0:0:25.438,43.5792270151926,1.93742679568291,0,0.000885,0,0
0:0:25.534,43.5792270151926,1.93742679568291,0,0.000885,0,0
0:0:25.634,43.5792270151926,1.93742679568291,0,0.000885,0,0
0:0:25.738,43.8105345383926,1.94432155296292,0,0.000885,0,0
0:0:25.838,44.2820460279925,1.96500582480296,0,0.000885,0,0
0:0:25.938,44.7491092959924,1.98569009664299,0,0.000885,0,0
0:0:26.038,44.7491092959924,1.98569009664299,0,0.000885,0,0
0:0:26.134,45.0426919215924,1.99947961120301,0,0.000885,0,0
0:0:26.234,45.4519283087923,2.02016388304304,0,0.000885,0,0
0:0:26.333,45.6876840535922,2.03395339760306,0,0.000885,0,0
0:0:26.433,45.6876840535922,2.03395339760306,0,0.000885,0,0
0:0:26.532,45.9812666791922,2.04084815488307,0,0.000885,0,0
0:0:26.632,46.2748493047921,2.05463766944309,0,0.000885,0,0
0:0:26.731,46.804187675192,2.08221669856313,0,0.000885,0,0
0:0:26.831,46.804187675192,2.08221669856313,0,0.000885,0,0
0:0:26.930,46.6840856919921,2.07532194128312,0,0.000885,0,0
0:0:27.028,47.097770300792,2.09600621312315,0,0.000885,0,0
0:0:27.125,47.097770300792,2.09600621312315,0,0.000885,0,0
0:0:27.222,47.5648335687919,2.11669048496318,0,0.000885,0,0
0:0:27.322,47.7427624327919,2.12358524224319,0,0.000885,0,0
0:0:27.421,47.7427624327919,2.12358524224319,0,0.000885,0,0
0:0:27.528,47.7427624327919,2.12358524224319,0,0.000885,0,0
0:0:27.634,47.8005893135919,2.12358524224319,0,0.000885,0,0
0:0:27.731,48.2676525815918,2.14426951408323,0,0.000885,0,0
0:0:27.831,48.5612352071918,2.15805902864325,0,0.000885,0,0
0:0:27.929,48.5612352071918,2.15805902864325,0,0.000885,0,0
0:0:28.039,49.2685024415916,2.1925328150433,0,0.000885,0,0
0:0:28.145,49.4998099647916,2.19942757232331,0,0.000885,0,0
0:0:28.244,49.7933925903915,2.21321708688333,0,0.000885,0,0
0:0:28.343,49.7933925903915,2.21321708688333,0,0.000885,0,0
0:0:28.443,50.0291483351915,2.22011184416334,0,0.000885,0,0
0:0:28.539,50.0869752159915,2.22700660144335,0,0.000885,0,0
0:0:28.635,50.5584867055914,2.24769087328338,0,0.000885,0,0
0:0:28.744,50.5584867055914,2.24769087328338,0,0.000885,0,0
0:0:28.845,51.2613057183913,2.27526990240342,0,0.000885,0,0
0:0:28.944,51.2034788375913,2.27526990240342,0,0.000885,0,0
0:0:29.042,51.6127152247912,2.29595417424345,0,0.000885,0,0
0:0:29.146,51.6127152247912,2.29595417424345,0,0.000885,0,0
0:0:29.244,52.0219516119912,2.30974368880347,0,0.000885,0,0
0:0:29.344,52.1998804759911,2.31663844608348,0,0.000885,0,0
0:0:29.443,52.724770624791,2.34421747520353,0,0.000885,0,0
0:0:29.540,52.724770624791,2.34421747520353,0,0.000885,0,0
0:0:29.634,52.787045727191,2.34421747520353,0,0.000885,0,0
0:0:29.744,53.196282114391,2.36490174704356,0,0.000885,0,0
0:0:29.844,53.4320378591909,2.37179650432357,0,0.000885,0,0
0:0:29.943,53.4320378591909,2.37179650432357,0,0.000885,0,0
0:0:30.041,53.5476916207909,2.37869126160358,0,0.000885,0,0
0:0:30.135,53.9569280079908,2.39937553344361,0,0.000885,0,0
0:0:30.244,54.0770299911908,2.40627029072362,0,0.000885,0,0
0:0:30.343,54.0770299911908,2.40627029072362,0,0.000885,0,0
0:0:30.443,54.6019201399907,2.42695456256365,0,0.000885,0,0
0:0:30.542,54.7220221231907,2.43384931984366,0,0.000885,0,0
0:0:30.642,54.7220221231907,2.43384931984366,0,0.000885,0,0
0:0:30.742,55.0734316295906,2.44763883440368,0,0.000885,0,0
0:0:30.842,55.4826680167906,2.46832310624371,0,0.000885,0,0
0:0:30.942,55.8919044039905,2.48211262080373,0,0.000885,0,0
0:0:31.041,55.8919044039905,2.48211262080373,0,0.000885,0,0
0:0:31.140,56.2477621319904,2.50279689264376,0,0.000885,0,0
0:0:31.241,56.3055890127904,2.50279689264376,0,0.000885,0,0
0:0:31.340,56.6569985191904,2.51658640720379,0,0.000885,0,0
0:0:31.440,56.6569985191904,2.51658640720379,0,0.000885,0,0
0:0:31.538,57.0084080255903,2.53037592176381,0,0.000885,0,0
0:0:31.638,57.3019906511903,2.54416543632383,0,0.000885,0,0
0:0:31.735,57.4754712935902,2.55795495088385,0,0.000885,0,0
0:0:31.835,57.4754712935902,2.55795495088385,0,0.000885,0,0
0:0:31.934,58.1204634255901,2.58553398000389,0,0.000885,0,0
0:0:32.033,58.2983922895901,2.5924287372839,0,0.000885,0,0
0:0:32.142,58.3562191703901,2.5924287372839,0,0.000885,0,0
0:0:32.247,58.3562191703901,2.5924287372839,0,0.000885,0,0
0:0:32.347,58.88555754079,2.62000776640394,0,0.000885,0,0
0:0:32.447,59.05903818319,2.62690252368395,0,0.000885,0,0
0:0:32.546,59.5305496727899,2.64758679552398,0,0.000885,0,0
0:0:32.643,59.5305496727899,2.64758679552398,0,0.000885,0,0
0:0:32.739,59.7040303151899,2.65448155280399,0,0.000885,0,0
0:0:32.835,59.8819591791898,2.661376310084,0,0.000885,0,0
0:0:32.935,59.8819591791898,2.661376310084,0,0.000885,0,0
0:0:33.034,60.0598880431898,2.66827106736401,0,0.000885,0,0
0:0:33.133,60.2911955663898,2.68206058192403,0,0.000885,0,0
0:0:33.241,60.9361876983897,2.70963961104408,0,0.000885,0,0
0:0:33.335,60.9361876983897,2.70963961104408,0,0.000885,0,0
0:0:33.438,60.9984628007896,2.70963961104408,0,0.000885,0,0
0:0:33.534,61.4655260687896,2.73032388288411,0,0.000885,0,0
0:0:33.644,61.7012818135895,2.74411339744413,0,0.000885,0,0
0:0:33.749,61.7012818135895,2.74411339744413,0,0.000885,0,0
0:0:33.848,61.7591086943895,2.74411339744413,0,0.000885,0,0
0:0:33.946,62.2884470647894,2.77169242656417,0,0.000885,0,0
0:0:34.047,62.9334391967893,2.79927145568421,0,0.000885,0,0
0:0:34.144,62.9334391967893,2.79927145568421,0,0.000885,0,0
0:0:34.241,63.2270218223893,2.81306097024423,0,0.000885,0,0
0:0:34.335,63.1647467199893,2.80616621296422,0,0.000885,0,0
0:0:34.438,63.4583293455892,2.81995572752424,0,0.000885,0,0
0:0:34.534,63.4583293455892,2.81995572752424,0,0.000885,0,0
0:0:34.632,63.9298408351891,2.84063999936427,0,0.000885,0,0
0:0:34.740,64.0454945967891,2.84753475664428,0,0.000885,0,0
0:0:34.834,64.0454945967891,2.84753475664428,0,0.000885,0,0
0:0:34.934,64.4547309839891,2.8613242712043,0,0.000885,0,0
0:0:35.033,64.1655965799891,2.85442951392429,0,0.000885,0,0
0:0:35.132,64.3390772223891,2.8613242712043,0,0.000885,0,0
0:0:35.240,64.3390772223891,2.8613242712043,0,0.000885,0,0
0:0:35.346,65.041896235189,2.88890330032434,0,0.000885,0,0
0:0:35.445,64.868415592789,2.88200854304433,0,0.000885,0,0
0:0:35.545,65.4555808439889,2.90958757216438,0,0.000885,0,0
0:0:35.644,65.4555808439889,2.90958757216438,0,0.000885,0,0
0:0:35.744,65.1619982183889,2.89579805760436,0,0.000885,0,0
0:0:35.845,65.8648172311888,2.93027184400441,0,0.000885,0,0
0:0:35.945,65.8648172311888,2.93027184400441,0,0.000885,0,0
0:0:36.044,65.8648172311888,2.93027184400441,0,0.000885,0,0
0:0:36.144,66.2740536183887,2.94406135856443,0,0.000885,0,0
0:0:36.243,65.3933057415889,2.90958757216438,0,0.000885,0,0
0:0:36.343,65.104171337589,2.89579805760436,0,0.000885,0,0
0:0:36.442,65.104171337589,2.89579805760436,0,0.000885,0,0
0:0:36.542,65.104171337589,2.89579805760436,0,0.000885,0,0
0:0:36.639,65.3933057415889,2.90958757216438,0,0.000885,0,0
0:0:36.739,65.2776519799889,2.90269281488437,0,0.000885,0,0
0:0:36.835,65.2776519799889,2.90269281488437,0,0.000885,0,0
0:0:36.934,65.8069903503888,2.9233770867244,0,0.000885,0,0
0:0:37.034,65.9226441119888,2.93027184400441,0,0.000885,0,0
0:0:37.133,65.9226441119888,2.93027184400441,0,0.000885,0,0
0:0:37.242,66.2740536183887,2.94406135856443,0,0.000885,0,0
0:0:37.347,66.7455651079887,2.96474563040446,0,0.000885,0,0
0:0:37.447,67.0969746143886,2.98542990224449,0,0.000885,0,0
0:0:37.547,67.7419667463885,3.01300893136453,0,0.000885,0,0
0:0:37.647,67.7419667463885,3.01300893136453,0,0.000885,0,0
0:0:37.743,68.1512031335884,3.02679844592455,0,0.000885,0,0
0:0:37.848,68.6805415039883,3.05437747504459,0,0.000885,0,0
0:0:37.946,68.6805415039883,3.05437747504459,0,0.000885,0,0
0:0:38.045,68.9741241295883,3.06816698960461,0,0.000885,0,0
