Test ID:,Date Tested:,Time:,Test Type:,Width (mm):,Depth (mm):,Height (mm):,Age (days):,Weight (kN):,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,6/29/2021,04:44,Cube,100,100,100,7,8.37,0.01,38.24,3.83
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:14.244,9.67933020159836,0.965266019201452,0,0.000885,0,0
0:0:14.341,10.4399760951982,1.04110834928157,0,0.000885,0,0
0:0:14.437,10.4399760951982,1.04110834928157,0,0.000885,0,0
0:0:14.535,10.3821492143982,1.04110834928157,0,0.000885,0,0
0:0:14.634,10.3821492143982,1.04110834928157,0,0.000885,0,0
0:0:14.731,10.5556298567982,1.05489786384159,0,0.000885,0,0
0:0:14.828,10.5556298567982,1.05489786384159,0,0.000885,0,0
0:0:14.925,10.6757318399982,1.06868737840161,0,0.000885,0,0
0:0:15.024,10.3243223335982,1.03421359200156,0,0.000885,0,0
0:0:15.123,10.4978029759982,1.04800310656158,0,0.000885,0,0
0:0:15.222,10.4978029759982,1.04800310656158,0,0.000885,0,0
0:0:15.327,10.4399760951982,1.04110834928157,0,0.000885,0,0
0:0:15.434,10.1463934695983,1.01352932016152,0,0.000885,0,0
0:0:15.531,10.2042203503983,1.02042407744153,0,0.000885,0,0
0:0:15.630,10.2042203503983,1.02042407744153,0,0.000885,0,0
0:0:15.728,10.4978029759982,1.04800310656158,0,0.000885,0,0
0:0:15.836,10.5556298567982,1.05489786384159,0,0.000885,0,0
0:0:15.943,10.7913856015982,1.08247689296163,0,0.000885,0,0
0:0:16.042,10.7913856015982,1.08247689296163,0,0.000885,0,0
0:0:16.142,10.4399760951982,1.04110834928157,0,0.000885,0,0
0:0:16.241,11.0849682271981,1.11005592208167,0,0.000885,0,0
0:0:16.336,11.0849682271981,1.11005592208167,0,0.000885,0,0
0:0:16.441,11.0271413463981,1.10316116480166,0,0.000885,0,0
0:0:16.540,10.9693144655981,1.09626640752165,0,0.000885,0,0
0:0:16.639,11.1427951079981,1.11695067936168,0,0.000885,0,0
0:0:16.738,11.1427951079981,1.11695067936168,0,0.000885,0,0
0:0:16.842,11.1427951079981,1.11695067936168,0,0.000885,0,0
0:0:16.940,11.3207239719981,1.1307401939217,0,0.000885,0,0
0:0:17.037,11.3785508527981,1.13763495120171,0,0.000885,0,0
0:0:17.137,11.3785508527981,1.13763495120171,0,0.000885,0,0
0:0:17.237,11.614306597598,1.15831922304174,0,0.000885,0,0
0:0:17.342,12.023542984798,1.1996877667218,0,0.000885,0,0
0:0:17.438,12.023542984798,1.1996877667218,0,0.000885,0,0
0:0:17.536,12.023542984798,1.1996877667218,0,0.000885,0,0
0:0:17.635,11.787787239998,1.17900349488177,0,0.000885,0,0
0:0:17.731,11.845614120798,1.18589825216178,0,0.000885,0,0
0:0:17.840,12.2014718487979,1.22037203856184,0,0.000885,0,0
0:0:17.936,12.2014718487979,1.22037203856184,0,0.000885,0,0
0:0:18.031,12.2014718487979,1.22037203856184,0,0.000885,0,0
0:0:18.131,12.1391967463979,1.21347728128183,0,0.000885,0,0
0:0:18.230,12.1391967463979,1.21347728128183,0,0.000885,0,0
0:0:18.328,12.4327793719979,1.24105631040187,0,0.000885,0,0
0:0:18.436,12.9042908615978,1.28931961136194,0,0.000885,0,0
0:0:18.542,13.3135272487977,1.330688155042,0,0.000885,0,0
0:0:18.641,13.3135272487977,1.330688155042,0,0.000885,0,0
0:0:18.741,13.1355983847978,1.31689864048198,0,0.000885,0,0
0:0:18.839,13.5492829935977,1.35826718416204,0,0.000885,0,0
0:0:18.943,13.6649367551977,1.36516194144205,0,0.000885,0,0
0:0:19.041,13.6649367551977,1.36516194144205,0,0.000885,0,0
0:0:19.141,13.8428656191976,1.38584621328208,0,0.000885,0,0
0:0:19.241,13.6649367551977,1.36516194144205,0,0.000885,0,0
0:0:19.339,13.9006924999976,1.39274097056209,0,0.000885,0,0
0:0:19.443,13.9006924999976,1.39274097056209,0,0.000885,0,0
0:0:19.540,14.2521020063976,1.42721475696215,0,0.000885,0,0
0:0:19.638,14.4878577511975,1.44789902880218,0,0.000885,0,0
0:0:19.738,14.1364482447976,1.41342524240213,0,0.000885,0,0
0:0:19.837,14.1364482447976,1.41342524240213,0,0.000885,0,0
0:0:19.936,14.3099288871976,1.43410951424216,0,0.000885,0,0
0:0:20.036,14.7191652743975,1.47547805792222,0,0.000885,0,0
0:0:20.136,14.5456846319975,1.45479378608219,0,0.000885,0,0
0:0:20.235,14.5456846319975,1.45479378608219,0,0.000885,0,0
0:0:20.336,14.8392672575975,1.48237281520223,0,0.000885,0,0
0:0:20.436,15.1328498831974,1.50995184432227,0,0.000885,0,0
0:0:20.535,15.1328498831974,1.50995184432227,0,0.000885,0,0
0:0:20.631,15.3063305255974,1.5306361161623,0,0.000885,0,0
0:0:20.731,15.6577400319973,1.56510990256235,0,0.000885,0,0
0:0:20.831,15.8934957767973,1.5926889316824,0,0.000885,0,0
0:0:20.930,15.8934957767973,1.5926889316824,0,0.000885,0,0
0:0:21.029,16.0135977599973,1.59958368896241,0,0.000885,0,0
0:0:21.127,16.4228341471972,1.64095223264247,0,0.000885,0,0
0:0:21.227,16.5384879087972,1.65474174720249,0,0.000885,0,0
0:0:21.326,16.5384879087972,1.65474174720249,0,0.000885,0,0
0:0:21.426,16.5963147895972,1.6616365044825,0,0.000885,0,0
0:0:21.522,16.5963147895972,1.6616365044825,0,0.000885,0,0
0:0:21.628,16.9521725175971,1.69611029088255,0,0.000885,0,0
0:0:21.728,16.9521725175971,1.69611029088255,0,0.000885,0,0
0:0:21.827,17.0678262791971,1.70989980544257,0,0.000885,0,0
0:0:21.924,16.9521725175971,1.69611029088255,0,0.000885,0,0
0:0:22.029,16.8898974151971,1.68921553360254,0,0.000885,0,0
0:0:22.126,16.8898974151971,1.68921553360254,0,0.000885,0,0
0:0:22.225,16.9521725175971,1.69611029088255,0,0.000885,0,0
0:0:22.325,17.477062666397,1.74437359184262,0,0.000885,0,0
0:0:22.423,17.477062666397,1.74437359184262,0,0.000885,0,0
0:0:22.528,17.597164649597,1.75816310640264,0,0.000885,0,0
0:0:22.637,17.597164649597,1.75816310640264,0,0.000885,0,0
0:0:22.737,18.0642279175969,1.80642640736272,0,0.000885,0,0
0:0:22.835,18.0642279175969,1.80642640736272,0,0.000885,0,0
0:0:22.942,18.0642279175969,1.80642640736272,0,0.000885,0,0
0:0:23.038,18.4734643047969,1.84779495104278,0,0.000885,0,0
0:0:23.136,18.2999836623969,1.82711067920275,0,0.000885,0,0
0:0:23.236,18.2999836623969,1.82711067920275,0,0.000885,0,0
0:0:23.335,18.5357394071969,1.85468970832279,0,0.000885,0,0
0:0:23.430,18.3578105431969,1.83400543648276,0,0.000885,0,0
0:0:23.538,18.4734643047969,1.84779495104278,0,0.000885,0,0
0:0:23.635,18.4734643047969,1.84779495104278,0,0.000885,0,0
0:0:23.731,18.4734643047969,1.84779495104278,0,0.000885,0,0
0:0:23.831,18.8871489135968,1.88916349472284,0,0.000885,0,0
0:0:23.929,18.7092200495968,1.86847922288281,0,0.000885,0,0
0:0:24.036,18.7092200495968,1.86847922288281,0,0.000885,0,0
0:0:24.131,18.8248738111968,1.88226873744283,0,0.000885,0,0
0:0:24.230,19.0028026751968,1.90295300928286,0,0.000885,0,0
