Test ID:,Date Tested:,Time:,Test Type:,Diameter Avg. (mm):,Cyl. Corr. Factor:,Height (mm):,Age (days):,Weight (kN):,Break Type:,Ramp Rate (MPa/s):,Load at Break (kN):,Stress at Break (MPa):
12,7/15/2021,06:16,Cylinder,150,1,300,0,3.6,3,0.25,1628,92.13
Sample Time,Load (kN),Stress (MPa),Long. Strain,Trans. Strain,Chan1 Deflection (mm),Chan2 Deflection (mm)
0:0:10.683,6.86360592879883,0.386106407680581,0,0.000885,0,0
0:0:10.781,8.2692439543986,0.468843495040705,0,0.000885,0,0
0:0:10.880,8.2692439543986,0.468843495040705,0,0.000885,0,0
0:0:10.982,9.32347247359842,0.530896310560798,0,0.000885,0,0
0:0:11.083,10.1463934695983,0.572264854240861,0,0.000885,0,0
0:0:11.180,10.2620472311983,0.579159611520871,0,0.000885,0,0
0:0:11.278,10.2620472311983,0.579159611520871,0,0.000885,0,0
0:0:11.378,10.1463934695983,0.572264854240861,0,0.000885,0,0
0:0:11.479,10.1463934695983,0.572264854240861,0,0.000885,0,0
0:0:11.580,10.3821492143982,0.586054368800881,0,0.000885,0,0
0:0:11.676,10.3821492143982,0.586054368800881,0,0.000885,0,0
0:0:11.774,10.3821492143982,0.586054368800881,0,0.000885,0,0
0:0:11.874,10.4399760951982,0.592949126080892,0,0.000885,0,0
0:0:11.975,10.6757318399982,0.606738640640913,0,0.000885,0,0
0:0:12.075,10.6757318399982,0.606738640640913,0,0.000885,0,0
0:0:12.174,10.9070393631981,0.620528155200933,0,0.000885,0,0
0:0:12.281,11.3207239719981,0.641212427040964,0,0.000885,0,0
0:0:12.381,12.6107082359979,0.710159999841068,0,0.000885,0,0
0:0:12.483,12.6107082359979,0.710159999841068,0,0.000885,0,0
0:0:12.583,13.6071098743977,0.772212815361161,0,0.000885,0,0
0:0:12.680,13.7850387383977,0.779107572641172,0,0.000885,0,0
0:0:12.776,14.7191652743975,0.834265630881255,0,0.000885,0,0
0:0:12.876,14.7191652743975,0.834265630881255,0,0.000885,0,0
0:0:12.977,14.8392672575975,0.841160388161265,0,0.000885,0,0
0:0:13.078,14.9549210191975,0.848055145441275,0,0.000885,0,0
0:0:13.178,14.9549210191975,0.848055145441275,0,0.000885,0,0
0:0:13.276,15.4842593895974,0.875634174561317,0,0.000885,0,0
0:0:13.373,15.9513226575973,0.903213203681358,0,0.000885,0,0
0:0:13.475,16.8320705343971,0.951476504641431,0,0.000885,0,0
